Time Slice,New Category?,# of New Categories,Total Ideas in Time Slice,Probability of New Bin,%New Categories in Time Slice,%New Categories Overall,Counter
1,true,10,12,66.6666666667%,83.3333333333%,83.3333333333%
2,true,9,13,60.0%,69.2307692308%,76.0%
3,true,22,31,53.5714285714%,70.9677419355%,73.2142857143%
4,true,8,17,50.6849315068%,47.0588235294%,67.1232876712%
5,true,5,11,45.2380952381%,45.4545454545%,64.2857142857%
6,true,4,12,43.75%,33.3333333333%,60.4166666667%
7,true,35,71,37.125748503%,49.2957746479%,55.6886227545%
8,true,40,88,34.1176470588%,45.4545454545%,52.1568627451%
9,true,1,10,32.8301886792%,10.0%,50.5660377358%
10,true,2,13,30.2158273381%,15.3846153846%,48.9208633094%
11,true,28,53,32.6283987915%,52.8301886792%,49.5468277946%
12,true,6,11,32.7485380117%,54.5454545455%,49.7076023392%
13,true,3,8,32.2857142857%,37.5%,49.4285714286%
14,true,7,12,33.1491712707%,58.3333333333%,49.7237569061%
15,true,7,15,32.8912466844%,46.6666666667%,49.6021220159%
16,true,4,14,31.7135549872%,28.5714285714%,48.8491048593%
17,true,5,15,30.7881773399%,33.3333333333%,48.275862069%
18,true,2,8,30.4347826087%,25.0%,47.8260869565%
19,true,4,7,30.4038004751%,57.1428571429%,47.9809976247%
20,true,6,20,30.1587301587%,30.0%,47.1655328798%
21,true,28,62,29.2246520875%,45.1612903226%,46.9184890656%
22,true,2,12,27.7669902913%,16.6666666667%,46.213592233%
23,true,2,10,27.619047619%,20.0%,45.7142857143%
24,true,7,20,27.5229357798%,35.0%,45.3211009174%
25,true,10,28,27.3996509599%,35.7142857143%,44.8516579407%
26,true,18,54,26.63476874%,33.3333333333%,43.8596491228%
27,true,3,15,26.4797507788%,20.0%,43.3021806854%
28,true,3,16,25.8358662614%,18.75%,42.7051671733%
29,true,9,34,25.0%,26.4705882353%,41.9075144509%
30,true,48,158,23.5294117647%,30.3797468354%,39.7647058824%
31,true,1,5,23.3918128655%,20.0%,39.649122807%
32,true,6,39,22.4832214765%,15.3846153846%,38.5906040268%
33,true,17,61,21.9895287958%,27.868852459%,37.9057591623%
34,true,1,13,21.694214876%,7.69230769231%,37.5%
35,true,5,26,21.4285714286%,19.2307692308%,37.0221327968%
36,true,4,8,21.6566866267%,50.0%,37.125748503%
37,true,16,100,19.9637023593%,16.0%,35.2087114338%
38,true,24,128,18.7804878049%,18.75%,33.4959349593%
39,true,7,29,18.7450357427%,24.1379310345%,33.280381255%
40,true,6,36,18.3783783784%,16.6666666667%,32.8185328185%
41,true,15,34,18.8863807374%,44.1176470588%,33.107599699%
42,true,6,11,19.1044776119%,54.5454545455%,33.2835820896%
43,true,3,4,19.2708333333%,75.0%,33.4077380952%
44,true,22,87,18.5883997205%,25.2873563218%,32.9140461216%
45,true,1,4,18.606271777%,25.0%,32.8919860627%
