Time Slice,New Category?,# of New Categories,Total Ideas in Time Slice,Probability of New Bin,%New Categories in Time Slice,%New Categories Overall,Counter
1,true,11,12,83.3333333333%,91.6666666667%,91.6666666667%
2,true,9,13,64.0%,69.2307692308%,80.0%
3,true,21,31,57.1428571429%,67.7419354839%,73.2142857143%
4,true,11,17,56.1643835616%,64.7058823529%,71.2328767123%
5,true,2,11,44.0476190476%,18.1818181818%,64.2857142857%
6,true,3,12,38.5416666667%,25.0%,59.375%
7,true,38,71,37.125748503%,53.5211267606%,56.8862275449%
8,true,38,88,33.7254901961%,43.1818181818%,52.1568627451%
9,true,1,10,32.4528301887%,10.0%,50.5660377358%
10,true,3,13,31.2949640288%,23.0769230769%,49.2805755396%
11,true,24,53,31.1178247734%,45.2830188679%,48.6404833837%
12,true,1,11,29.8245614035%,9.09090909091%,47.3684210526%
13,true,3,8,30.0%,37.5%,47.1428571429%
14,true,8,12,30.9392265193%,66.6666666667%,47.7900552486%
15,true,5,15,30.2387267905%,33.3333333333%,47.2148541114%
16,true,4,14,28.9002557545%,28.5714285714%,46.547314578%
17,true,2,15,28.078817734%,13.3333333333%,45.3201970443%
18,true,2,8,27.2946859903%,25.0%,44.9275362319%
19,true,2,7,26.8408551069%,28.5714285714%,44.6555819477%
20,true,5,20,26.5306122449%,25.0%,43.7641723356%
21,true,23,62,25.2485089463%,37.0967741935%,42.9423459245%
22,true,2,12,23.8834951456%,16.6666666667%,42.3300970874%
23,true,4,10,24.0%,40.0%,42.2857142857%
24,true,6,20,24.0366972477%,30.0%,41.8348623853%
25,true,6,28,23.2111692845%,21.4285714286%,40.8376963351%
26,true,21,54,23.1259968102%,38.8888888889%,40.6698564593%
27,true,4,15,22.7414330218%,26.6666666667%,40.3426791277%
28,true,2,16,22.0364741641%,12.5%,39.6656534954%
29,true,5,34,20.9537572254%,14.7058823529%,38.4393063584%
30,true,46,158,19.7647058824%,29.1139240506%,36.7058823529%
31,true,1,5,19.7660818713%,20.0%,36.6081871345%
32,true,2,39,18.6800894855%,5.12820512821%,35.2348993289%
33,true,12,61,17.9057591623%,19.6721311475%,34.2408376963%
34,false,0,13,17.3553719008%,0.0%,33.7809917355%
35,true,6,26,17.2032193159%,23.0769230769%,33.5010060362%
36,true,1,8,17.0658682635%,12.5%,33.3333333333%
37,true,11,100,15.5172413793%,11.0%,31.3067150635%
38,true,22,128,14.8780487805%,17.1875%,29.837398374%
39,true,6,29,14.8530579825%,20.6896551724%,29.6266878475%
40,true,8,36,14.8262548263%,22.2222222222%,29.4208494208%
41,true,15,34,15.2746425884%,44.1176470588%,29.7968397291%
42,true,3,11,15.223880597%,27.2727272727%,29.776119403%
43,true,2,4,15.2529761905%,50.0%,29.8363095238%
44,true,26,87,15.3039832285%,29.8850574713%,29.8392732355%
45,false,0,4,15.2613240418%,0.0%,29.756097561%
