Time Slice,New Category?,# of New Categories,Total Ideas in Time Slice,Probability of New Bin,%New Categories in Time Slice,%New Categories Overall,Counter
1,true,51,91,36.2637362637%,56.043956044%,56.043956044%
2,true,13,35,28.5714285714%,37.1428571429%,50.7936507937%
3,true,15,38,23.1707317073%,39.4736842105%,48.1707317073%
4,true,5,16,23.3333333333%,31.25%,46.6666666667%
5,true,2,10,21.5789473684%,20.0%,45.2631578947%
6,true,6,32,19.3693693694%,18.75%,41.4414414414%
7,true,18,70,19.1780821918%,25.7142857143%,37.6712328767%
8,true,2,8,18.6666666667%,25.0%,37.3333333333%
9,true,8,36,17.5595238095%,22.2222222222%,35.7142857143%
10,true,36,177,15.3996101365%,20.3389830508%,30.4093567251%
