dataset,method,timeSlice,GT_predict,new_TRUE
0EVEO6UQAU,word2vec_0.20,1,5.555555556,22.22222222
0EVEO6UQAU,word2vec_0.20,2,0,0
0EVEO6UQAU,word2vec_0.20,3,9.090909091,33.33333333
0EVEO6UQAU,word2vec_0.20,4,7.894736842,20
0EVEO6UQAU,word2vec_0.20,5,7.142857143,0
0EVEO6UQAU,word2vec_0.20,6,6.12244898,14.28571429
0EVEO6UQAU,word2vec_0.20,7,3.50877193,0
0EVEO6UQAU,word2vec_0.20,8,3.174603175,0
0EVEO6UQAU,word2vec_0.20,9,2.985074627,0
0EVEO6UQAU,word2vec_0.20,10,2.702702703,0
0EVEO6UQAU,word2vec_0.20,11,2.564102564,0
0EVEO6UQAU,word2vec_0.20,12,2.352941176,0
0EVEO6UQAU,word2vec_0.20,13,2.272727273,0
0EVEO6UQAU,word2vec_0.30,1,0,27.77777778
0EVEO6UQAU,word2vec_0.30,2,0,16.66666667
0EVEO6UQAU,word2vec_0.30,3,12.12121212,44.44444444
0EVEO6UQAU,word2vec_0.30,4,13.15789474,40
0EVEO6UQAU,word2vec_0.30,5,11.9047619,25
0EVEO6UQAU,word2vec_0.30,6,14.28571429,28.57142857
0EVEO6UQAU,word2vec_0.30,7,12.28070175,12.5
0EVEO6UQAU,word2vec_0.30,8,11.11111111,0
0EVEO6UQAU,word2vec_0.30,9,10.44776119,0
0EVEO6UQAU,word2vec_0.30,10,8.108108108,0
0EVEO6UQAU,word2vec_0.30,11,7.692307692,0
0EVEO6UQAU,word2vec_0.30,12,7.058823529,0
0EVEO6UQAU,word2vec_0.30,13,6.818181818,0
0EVEO6UQAU,word2vec_0.40,1,16.66666667,44.44444444
0EVEO6UQAU,word2vec_0.40,2,12.5,33.33333333
0EVEO6UQAU,word2vec_0.40,3,21.21212121,55.55555556
0EVEO6UQAU,word2vec_0.40,4,23.68421053,40
0EVEO6UQAU,word2vec_0.40,5,21.42857143,25
0EVEO6UQAU,word2vec_0.40,6,22.44897959,42.85714286
0EVEO6UQAU,word2vec_0.40,7,19.29824561,12.5
0EVEO6UQAU,word2vec_0.40,8,20.63492063,33.33333333
0EVEO6UQAU,word2vec_0.40,9,19.40298507,0
0EVEO6UQAU,word2vec_0.40,10,18.91891892,14.28571429
0EVEO6UQAU,word2vec_0.40,11,17.94871795,0
0EVEO6UQAU,word2vec_0.40,12,16.47058824,0
0EVEO6UQAU,word2vec_0.40,13,15.90909091,0
0EVEO6UQAU,word2vec_0.50,1,27.77777778,55.55555556
0EVEO6UQAU,word2vec_0.50,2,25,50
0EVEO6UQAU,word2vec_0.50,3,27.27272727,55.55555556
0EVEO6UQAU,word2vec_0.50,4,31.57894737,80
0EVEO6UQAU,word2vec_0.50,5,30.95238095,50
0EVEO6UQAU,word2vec_0.50,6,32.65306122,42.85714286
0EVEO6UQAU,word2vec_0.50,7,31.57894737,37.5
0EVEO6UQAU,word2vec_0.50,8,30.15873016,33.33333333
0EVEO6UQAU,word2vec_0.50,9,26.86567164,0
0EVEO6UQAU,word2vec_0.50,10,28.37837838,42.85714286
0EVEO6UQAU,word2vec_0.50,11,26.92307692,0
0EVEO6UQAU,word2vec_0.50,12,25.88235294,14.28571429
0EVEO6UQAU,word2vec_0.50,13,26.13636364,33.33333333
0EVEO6UQAU,word2vec_0.60,1,38.88888889,66.66666667
0EVEO6UQAU,word2vec_0.60,2,33.33333333,50
0EVEO6UQAU,word2vec_0.60,3,33.33333333,55.55555556
0EVEO6UQAU,word2vec_0.60,4,42.10526316,100
0EVEO6UQAU,word2vec_0.60,5,40.47619048,50
0EVEO6UQAU,word2vec_0.60,6,40.81632653,57.14285714
0EVEO6UQAU,word2vec_0.60,7,43.85964912,62.5
0EVEO6UQAU,word2vec_0.60,8,41.26984127,50
0EVEO6UQAU,word2vec_0.60,9,38.80597015,25
0EVEO6UQAU,word2vec_0.60,10,39.18918919,57.14285714
0EVEO6UQAU,word2vec_0.60,11,39.74358974,50
0EVEO6UQAU,word2vec_0.60,12,36.47058824,0
0EVEO6UQAU,word2vec_0.60,13,37.5,66.66666667
0EVEO6UQAU,word2vec_0.70,1,66.66666667,83.33333333
0EVEO6UQAU,word2vec_0.70,2,54.16666667,50
0EVEO6UQAU,word2vec_0.70,3,48.48484848,55.55555556
0EVEO6UQAU,word2vec_0.70,4,55.26315789,100
0EVEO6UQAU,word2vec_0.70,5,57.14285714,75
0EVEO6UQAU,word2vec_0.70,6,57.14285714,71.42857143
0EVEO6UQAU,word2vec_0.70,7,61.40350877,87.5
0EVEO6UQAU,word2vec_0.70,8,57.14285714,50
0EVEO6UQAU,word2vec_0.70,9,56.71641791,50
0EVEO6UQAU,word2vec_0.70,10,55.40540541,71.42857143
0EVEO6UQAU,word2vec_0.70,11,55.12820513,50
0EVEO6UQAU,word2vec_0.70,12,52.94117647,42.85714286
0EVEO6UQAU,word2vec_0.70,13,53.40909091,66.66666667
0EVEO6UQAU,word2vec_0.80,1,77.77777778,88.88888889
0EVEO6UQAU,word2vec_0.80,2,70.83333333,66.66666667
0EVEO6UQAU,word2vec_0.80,3,57.57575758,55.55555556
0EVEO6UQAU,word2vec_0.80,4,63.15789474,100
0EVEO6UQAU,word2vec_0.80,5,64.28571429,75
0EVEO6UQAU,word2vec_0.80,6,63.26530612,71.42857143
0EVEO6UQAU,word2vec_0.80,7,66.66666667,87.5
0EVEO6UQAU,word2vec_0.80,8,65.07936508,66.66666667
0EVEO6UQAU,word2vec_0.80,9,62.68656716,50
0EVEO6UQAU,word2vec_0.80,10,60.81081081,71.42857143
0EVEO6UQAU,word2vec_0.80,11,58.97435897,50
0EVEO6UQAU,word2vec_0.80,12,60,71.42857143
0EVEO6UQAU,word2vec_0.80,13,60.22727273,66.66666667
0EVEO6UQAU,word2vec_0.90,1,88.88888889,94.44444444
0EVEO6UQAU,word2vec_0.90,2,79.16666667,66.66666667
