dataset,method,timeSlice,GT_predict,new_TRUE
Any clues from the social setting?,word2vec_0.20,1,16.66666667,38.88888889
Any clues from the social setting?,word2vec_0.30,1,27.77777778,55.55555556
Any clues from the social setting?,word2vec_0.40,1,61.11111111,77.77777778
Any clues from the social setting?,word2vec_0.50,1,77.77777778,88.88888889
Any clues from the social setting?,word2vec_0.60,1,77.77777778,88.88888889
Any clues from the social setting?,word2vec_0.70,1,88.88888889,94.44444444
Any clues from the social setting?,word2vec_0.80,1,88.88888889,94.44444444
Any clues from the social setting?,word2vec_0.90,1,88.88888889,94.44444444
Are they talking with anyone else there?,word2vec_0.20,1,0,23.07692308
Are they talking with anyone else there?,word2vec_0.20,2,0,0
Are they talking with anyone else there?,word2vec_0.20,3,0,0
Are they talking with anyone else there?,word2vec_0.20,4,0,0
Are they talking with anyone else there?,word2vec_0.20,5,0,0
Are they talking with anyone else there?,word2vec_0.20,6,0,0
Are they talking with anyone else there?,word2vec_0.30,1,15.38461538,46.15384615
Are they talking with anyone else there?,word2vec_0.30,2,15.78947368,33.33333333
Are they talking with anyone else there?,word2vec_0.30,3,18.18181818,33.33333333
Are they talking with anyone else there?,word2vec_0.30,4,14.28571429,0
Are they talking with anyone else there?,word2vec_0.30,5,12.5,0
Are they talking with anyone else there?,word2vec_0.30,6,11.76470588,0
Are they talking with anyone else there?,word2vec_0.40,1,30.76923077,61.53846154
Are they talking with anyone else there?,word2vec_0.40,2,26.31578947,33.33333333
Are they talking with anyone else there?,word2vec_0.40,3,27.27272727,33.33333333
Are they talking with anyone else there?,word2vec_0.40,4,28.57142857,33.33333333
Are they talking with anyone else there?,word2vec_0.40,5,21.875,0
Are they talking with anyone else there?,word2vec_0.40,6,20.58823529,0
Are they talking with anyone else there?,word2vec_0.50,1,38.46153846,69.23076923
Are they talking with anyone else there?,word2vec_0.50,2,36.84210526,50
Are they talking with anyone else there?,word2vec_0.50,3,36.36363636,33.33333333
Are they talking with anyone else there?,word2vec_0.50,4,39.28571429,50
Are they talking with anyone else there?,word2vec_0.50,5,31.25,0
