dataset,method,timeSlice,GT_predict,new_TRUE
A12U7YNO0GKNKZ,word2vec_0.20,1,100.0,100.0
A12U7YNO0GKNKZ,word2vec_0.30,1,100.0,100.0
A12U7YNO0GKNKZ,word2vec_0.40,1,100.0,100.0
A12U7YNO0GKNKZ,word2vec_0.50,1,100.0,100.0
A12U7YNO0GKNKZ,word2vec_0.60,1,100.0,100.0
A12U7YNO0GKNKZ,word2vec_0.70,1,100.0,100.0
A12U7YNO0GKNKZ,word2vec_0.80,1,100.0,100.0
A12U7YNO0GKNKZ,word2vec_0.90,1,100.0,100.0
A14SABDOE6QHMK,word2vec_0.20,1,27.2727272727,63.6363636364
A14SABDOE6QHMK,word2vec_0.20,2,14.2857142857,20.0
A14SABDOE6QHMK,word2vec_0.20,3,3.7037037037,0.0
A14SABDOE6QHMK,word2vec_0.20,4,6.45161290323,25.0
A14SABDOE6QHMK,word2vec_0.20,5,5.88235294118,0.0
A14SABDOE6QHMK,word2vec_0.20,6,5.0,0.0
A14SABDOE6QHMK,word2vec_0.20,7,4.16666666667,0.0
A14SABDOE6QHMK,word2vec_0.20,8,3.57142857143,0.0
A14SABDOE6QHMK,word2vec_0.30,1,45.4545454545,72.7272727273
A14SABDOE6QHMK,word2vec_0.30,2,33.3333333333,50.0
A14SABDOE6QHMK,word2vec_0.30,3,11.1111111111,0.0
A14SABDOE6QHMK,word2vec_0.30,4,9.67741935484,0.0
A14SABDOE6QHMK,word2vec_0.30,5,8.82352941176,0.0
A14SABDOE6QHMK,word2vec_0.30,6,5.0,0.0
A14SABDOE6QHMK,word2vec_0.30,7,6.25,12.5
A14SABDOE6QHMK,word2vec_0.30,8,5.35714285714,12.5
A14SABDOE6QHMK,word2vec_0.40,1,81.8181818182,90.9090909091
A14SABDOE6QHMK,word2vec_0.40,2,66.6666666667,70.0
A14SABDOE6QHMK,word2vec_0.40,3,40.7407407407,16.6666666667
A14SABDOE6QHMK,word2vec_0.40,4,38.7096774194,25.0
A14SABDOE6QHMK,word2vec_0.40,5,38.2352941176,33.3333333333
A14SABDOE6QHMK,word2vec_0.40,6,27.5,0.0
A14SABDOE6QHMK,word2vec_0.40,7,25.0,12.5
A14SABDOE6QHMK,word2vec_0.40,8,21.4285714286,25.0
A14SABDOE6QHMK,word2vec_0.50,1,100.0,100.0
A14SABDOE6QHMK,word2vec_0.50,2,80.9523809524,80.0
A14SABDOE6QHMK,word2vec_0.50,3,55.5555555556,33.3333333333
A14SABDOE6QHMK,word2vec_0.50,4,51.6129032258,25.0
A14SABDOE6QHMK,word2vec_0.50,5,52.9411764706,66.6666666667
A14SABDOE6QHMK,word2vec_0.50,6,47.5,33.3333333333
A14SABDOE6QHMK,word2vec_0.50,7,41.6666666667,12.5
A14SABDOE6QHMK,word2vec_0.50,8,33.9285714286,25.0
A14SABDOE6QHMK,word2vec_0.60,1,100.0,100.0
A14SABDOE6QHMK,word2vec_0.60,2,80.9523809524,80.0
A14SABDOE6QHMK,word2vec_0.60,3,62.962962963,50.0
A14SABDOE6QHMK,word2vec_0.60,4,61.2903225806,50.0
A14SABDOE6QHMK,word2vec_0.60,5,61.7647058824,66.6666666667
A14SABDOE6QHMK,word2vec_0.60,6,55.0,50.0
A14SABDOE6QHMK,word2vec_0.60,7,50.0,25.0
A14SABDOE6QHMK,word2vec_0.60,8,48.2142857143,50.0
A14SABDOE6QHMK,word2vec_0.70,1,100.0,100.0
A14SABDOE6QHMK,word2vec_0.70,2,90.4761904762,90.0
A14SABDOE6QHMK,word2vec_0.70,3,70.3703703704,50.0
A14SABDOE6QHMK,word2vec_0.70,4,64.5161290323,50.0
A14SABDOE6QHMK,word2vec_0.70,5,64.7058823529,66.6666666667
A14SABDOE6QHMK,word2vec_0.70,6,62.5,66.6666666667
A14SABDOE6QHMK,word2vec_0.70,7,60.4166666667,62.5
A14SABDOE6QHMK,word2vec_0.70,8,57.1428571429,50.0
A14SABDOE6QHMK,word2vec_0.80,1,100.0,100.0
A14SABDOE6QHMK,word2vec_0.80,2,90.4761904762,90.0
A14SABDOE6QHMK,word2vec_0.80,3,70.3703703704,50.0
A14SABDOE6QHMK,word2vec_0.80,4,64.5161290323,50.0
A14SABDOE6QHMK,word2vec_0.80,5,64.7058823529,66.6666666667
A14SABDOE6QHMK,word2vec_0.80,6,67.5,83.3333333333
A14SABDOE6QHMK,word2vec_0.80,7,62.5,62.5
A14SABDOE6QHMK,word2vec_0.80,8,58.9285714286,50.0
A14SABDOE6QHMK,word2vec_0.90,1,100.0,100.0
A14SABDOE6QHMK,word2vec_0.90,2,90.4761904762,90.0
A14SABDOE6QHMK,word2vec_0.90,3,70.3703703704,50.0
A14SABDOE6QHMK,word2vec_0.90,4,64.5161290323,50.0
A14SABDOE6QHMK,word2vec_0.90,5,64.7058823529,66.6666666667
A14SABDOE6QHMK,word2vec_0.90,6,67.5,83.3333333333
