dataset,method,timeSlice,GT_predict,true
SuperBoring,word2vec_0.20,1,0.0%,12.5%
SuperBoring,word2vec_0.20,2,3.84615384615%,10.0%
SuperBoring,word2vec_0.20,3,4.44444444444%,10.5263157895%
SuperBoring,word2vec_0.20,4,5.1724137931%,7.69230769231%
SuperBoring,word2vec_0.20,5,5.79710144928%,9.09090909091%
SuperBoring,word2vec_0.20,6,3.8961038961%,0.0%
SuperBoring,word2vec_0.20,7,3.9603960396%,8.33333333333%
SuperBoring,word2vec_0.20,8,5.1724137931%,13.3333333333%
SuperBoring,word2vec_0.20,9,4.72440944882%,0.0%
SuperBoring,word2vec_0.20,10,3.7037037037%,0.0%
SuperBoring,word2vec_0.20,11,4.7619047619%,16.6666666667%
SuperBoring,word2vec_0.20,12,4.43037974684%,9.09090909091%
SuperBoring,word2vec_0.20,13,4.21686746988%,0.0%
SuperBoring,word2vec_0.30,1,0.0%,12.5%
SuperBoring,word2vec_0.30,2,11.5384615385%,30.0%
SuperBoring,word2vec_0.30,3,8.88888888889%,15.7894736842%
SuperBoring,word2vec_0.30,4,8.62068965517%,7.69230769231%
SuperBoring,word2vec_0.30,5,10.1449275362%,18.1818181818%
SuperBoring,word2vec_0.30,6,7.79220779221%,0.0%
SuperBoring,word2vec_0.30,7,7.92079207921%,16.6666666667%
SuperBoring,word2vec_0.30,8,7.75862068966%,13.3333333333%
SuperBoring,word2vec_0.30,9,7.08661417323%,0.0%
SuperBoring,word2vec_0.30,10,5.92592592593%,0.0%
SuperBoring,word2vec_0.30,11,6.80272108844%,16.6666666667%
SuperBoring,word2vec_0.30,12,6.32911392405%,9.09090909091%
SuperBoring,word2vec_0.30,13,6.02409638554%,0.0%
SuperBoring,word2vec_0.40,1,6.25%,18.75%
SuperBoring,word2vec_0.40,2,19.2307692308%,40.0%
SuperBoring,word2vec_0.40,3,20.0%,26.3157894737%
SuperBoring,word2vec_0.40,4,17.2413793103%,23.0769230769%
SuperBoring,word2vec_0.40,5,17.3913043478%,18.1818181818%
SuperBoring,word2vec_0.40,6,16.8831168831%,25.0%
SuperBoring,word2vec_0.40,7,15.8415841584%,25.0%
