dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,nltk_0.20,1,1.00,1.00
SuperBoring,nltk_0.20,2,0.87,0.75
SuperBoring,nltk_0.20,3,0.73,0.71
SuperBoring,nltk_0.20,4,0.71,0.85
SuperBoring,nltk_0.20,5,0.47,0.65
SuperBoring,nltk_0.20,6,0.45,0.58
SuperBoring,nltk_0.20,7,0.44,0.56
SuperBoring,nltk_0.20,8,0.41,0.46
SuperBoring,nltk_0.20,9,0.42,0.57
SuperBoring,nltk_0.20,10,0.39,0.30
SuperBoring,nltk_0.20,11,0.36,0.46
SuperBoring,nltk_0.20,12,0.34,0.31
SuperBoring,nltk_0.20,13,0.33,0.40
SuperBoring,nltk_0.20,14,0.32,0.45
SuperBoring,nltk_0.20,15,0.30,0.36
SuperBoring,nltk_0.20,16,0.25,0.30
SuperBoring,nltk_0.20,17,0.26,0.29
SuperBoring,nltk_0.20,18,0.25,0.18
SuperBoring,nltk_0.20,19,0.25,0.55
SuperBoring,nltk_0.20,20,0.25,0.20
SuperBoring,nltk_0.20,21,0.24,0.22
SuperBoring,nltk_0.20,22,0.23,0.15
SuperBoring,nltk_0.20,23,0.23,0.28
SuperBoring,nltk_0.20,24,0.22,0.22
SuperBoring,nltk_0.20,25,0.22,0.15
SuperBoring,nltk_0.20,26,0.22,0.08
SuperBoring,nltk_0.20,27,0.21,0.00
SuperBoring,nltk_0.20,28,0.21,0.13
SuperBoring,nltk_0.20,29,0.20,0.11
SuperBoring,nltk_0.20,30,0.20,0.14
SuperBoring,nltk_0.20,31,0.20,0.22
SuperBoring,nltk_0.20,32,0.20,0.08
SuperBoring,nltk_0.20,33,0.19,0.11
SuperBoring,nltk_0.20,34,0.19,0.13
SuperBoring,nltk_0.20,35,0.20,0.35
SuperBoring,nltk_0.20,36,0.19,0.00
SuperBoring,nltk_0.20,37,0.19,0.00
SuperBoring,nltk_0.20,38,0.19,0.00
SuperBoring,nltk_0.20,39,0.19,0.08
SuperBoring,nltk_0.20,40,0.19,0.09
SuperBoring,nltk_0.20,41,0.18,0.11
SuperBoring,nltk_0.20,42,0.18,0.25
SuperBoring,nltk_0.20,43,0.18,0.20
SuperBoring,nltk_0.20,44,0.18,0.10
SuperBoring,nltk_0.20,45,0.18,0.00
SuperBoring,nltk_0.40,1,1.00,1.00
SuperBoring,nltk_0.40,2,0.87,0.75
SuperBoring,nltk_0.40,3,0.73,0.71
SuperBoring,nltk_0.40,4,0.71,0.85
SuperBoring,nltk_0.40,5,0.51,0.69
SuperBoring,nltk_0.40,6,0.49,0.58
SuperBoring,nltk_0.40,7,0.47,0.56
SuperBoring,nltk_0.40,8,0.45,0.54
SuperBoring,nltk_0.40,9,0.46,0.64
SuperBoring,nltk_0.40,10,0.42,0.30
SuperBoring,nltk_0.40,11,0.41,0.52
SuperBoring,nltk_0.40,12,0.39,0.46
SuperBoring,nltk_0.40,13,0.39,0.50
SuperBoring,nltk_0.40,14,0.37,0.47
SuperBoring,nltk_0.40,15,0.35,0.43
SuperBoring,nltk_0.40,16,0.33,0.42
SuperBoring,nltk_0.40,17,0.33,0.29
SuperBoring,nltk_0.40,18,0.32,0.27
SuperBoring,nltk_0.40,19,0.33,0.55
SuperBoring,nltk_0.40,20,0.32,0.20
SuperBoring,nltk_0.40,21,0.31,0.34
SuperBoring,nltk_0.40,22,0.31,0.23
SuperBoring,nltk_0.40,23,0.31,0.28
SuperBoring,nltk_0.40,24,0.29,0.26
SuperBoring,nltk_0.40,25,0.28,0.15
SuperBoring,nltk_0.40,26,0.28,0.17
SuperBoring,nltk_0.40,27,0.28,0.00
SuperBoring,nltk_0.40,28,0.27,0.13
SuperBoring,nltk_0.40,29,0.26,0.11
SuperBoring,nltk_0.40,30,0.26,0.21
SuperBoring,nltk_0.40,31,0.26,0.22
SuperBoring,nltk_0.40,32,0.25,0.08
SuperBoring,nltk_0.40,33,0.25,0.11
SuperBoring,nltk_0.40,34,0.25,0.31
SuperBoring,nltk_0.40,35,0.26,0.43
SuperBoring,nltk_0.40,36,0.25,0.00
SuperBoring,nltk_0.40,37,0.25,0.00
SuperBoring,nltk_0.40,38,0.25,0.00
SuperBoring,nltk_0.40,39,0.24,0.08
SuperBoring,nltk_0.40,40,0.24,0.09
SuperBoring,nltk_0.40,41,0.24,0.11
SuperBoring,nltk_0.40,42,0.23,0.25
SuperBoring,nltk_0.40,43,0.24,0.30
SuperBoring,nltk_0.40,44,0.23,0.10
SuperBoring,nltk_0.40,45,0.23,0.00
SuperBoring,nltk_0.60,1,1.00,1.00
SuperBoring,nltk_0.60,2,0.87,0.75
SuperBoring,nltk_0.60,3,0.73,0.71
SuperBoring,nltk_0.60,4,0.77,0.92
SuperBoring,nltk_0.60,5,0.65,0.78
SuperBoring,nltk_0.60,6,0.61,0.64
SuperBoring,nltk_0.60,7,0.58,0.56
SuperBoring,nltk_0.60,8,0.56,0.62
SuperBoring,nltk_0.60,9,0.57,0.71
SuperBoring,nltk_0.60,10,0.53,0.45
SuperBoring,nltk_0.60,11,0.49,0.58
SuperBoring,nltk_0.60,12,0.47,0.51
SuperBoring,nltk_0.60,13,0.46,0.50
SuperBoring,nltk_0.60,14,0.44,0.54
SuperBoring,nltk_0.60,15,0.43,0.51
SuperBoring,nltk_0.60,16,0.40,0.48
SuperBoring,nltk_0.60,17,0.39,0.29
SuperBoring,nltk_0.60,18,0.39,0.27
SuperBoring,nltk_0.60,19,0.39,0.55
SuperBoring,nltk_0.60,20,0.38,0.20
SuperBoring,nltk_0.60,21,0.37,0.40
SuperBoring,nltk_0.60,22,0.37,0.38
SuperBoring,nltk_0.60,23,0.36,0.33
SuperBoring,nltk_0.60,24,0.35,0.35
SuperBoring,nltk_0.60,25,0.34,0.23
SuperBoring,nltk_0.60,26,0.34,0.17
SuperBoring,nltk_0.60,27,0.34,0.11
SuperBoring,nltk_0.60,28,0.33,0.26
SuperBoring,nltk_0.60,29,0.32,0.16
SuperBoring,nltk_0.60,30,0.32,0.36
SuperBoring,nltk_0.60,31,0.32,0.33
SuperBoring,nltk_0.60,32,0.32,0.15
SuperBoring,nltk_0.60,33,0.31,0.11
SuperBoring,nltk_0.60,34,0.31,0.31
SuperBoring,nltk_0.60,35,0.32,0.48
SuperBoring,nltk_0.60,36,0.31,0.00
