dataset,method,timeSlice,GT_predict,true
SuperBoring,nltk_0.20,1,100.0%,100.0%
SuperBoring,nltk_0.20,2,86.6666666667%,75.0%
SuperBoring,nltk_0.20,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.20,4,71.4285714286%,84.6153846154%
SuperBoring,nltk_0.20,5,46.7889908257%,64.8648648649%
SuperBoring,nltk_0.20,6,45.0704225352%,57.5757575758%
SuperBoring,nltk_0.20,7,43.7086092715%,55.5555555556%
SuperBoring,nltk_0.20,8,41.4634146341%,46.1538461538%
SuperBoring,nltk_0.20,9,42.1348314607%,57.1428571429%
SuperBoring,nltk_0.20,10,39.3939393939%,30.0%
SuperBoring,nltk_0.20,11,36.1290322581%,45.5357142857%
SuperBoring,nltk_0.20,12,33.5243553009%,30.7692307692%
SuperBoring,nltk_0.20,13,32.5905292479%,40.0%
SuperBoring,nltk_0.20,14,31.8584070796%,45.1612903226%
SuperBoring,nltk_0.20,15,30.297029703%,35.8490566038%
SuperBoring,nltk_0.20,16,25.4843517139%,29.5180722892%
SuperBoring,nltk_0.20,17,25.5162241888%,28.5714285714%
SuperBoring,nltk_0.20,18,25.1088534107%,18.1818181818%
SuperBoring,nltk_0.20,19,25.4285714286%,54.5454545455%
SuperBoring,nltk_0.20,20,25.3521126761%,20.0%
SuperBoring,nltk_0.20,21,23.5220125786%,22.3529411765%
SuperBoring,nltk_0.20,22,23.3910891089%,15.3846153846%
SuperBoring,nltk_0.20,23,23.3656174334%,27.7777777778%
SuperBoring,nltk_0.20,24,22.3847019123%,22.2222222222%
SuperBoring,nltk_0.40,1,100.0%,100.0%
SuperBoring,nltk_0.40,2,86.6666666667%,75.0%
SuperBoring,nltk_0.40,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.40,4,71.4285714286%,84.6153846154%
SuperBoring,nltk_0.40,5,51.376146789%,68.9189189189%
SuperBoring,nltk_0.40,6,48.5915492958%,57.5757575758%
SuperBoring,nltk_0.40,7,47.0198675497%,55.5555555556%
SuperBoring,nltk_0.40,8,45.1219512195%,53.8461538462%
SuperBoring,nltk_0.40,9,45.5056179775%,64.2857142857%
SuperBoring,nltk_0.40,10,42.4242424242%,30.0%
SuperBoring,nltk_0.40,11,40.9677419355%,51.7857142857%
SuperBoring,nltk_0.40,12,39.2550143266%,46.1538461538%
SuperBoring,nltk_0.40,13,38.7186629526%,50.0%
SuperBoring,nltk_0.40,14,36.7256637168%,47.311827957%
SuperBoring,nltk_0.40,15,35.4455445545%,43.3962264151%
SuperBoring,nltk_0.40,16,33.084947839%,42.1686746988%
SuperBoring,nltk_0.40,17,32.8908554572%,28.5714285714%
SuperBoring,nltk_0.40,18,32.3657474601%,27.2727272727%
SuperBoring,nltk_0.40,19,32.5714285714%,54.5454545455%
SuperBoring,nltk_0.40,20,32.2535211268%,20.0%
SuperBoring,nltk_0.40,21,30.9433962264%,34.1176470588%
SuperBoring,nltk_0.40,22,30.8168316832%,23.0769230769%
SuperBoring,nltk_0.40,23,30.5084745763%,27.7777777778%
SuperBoring,nltk_0.40,24,29.1338582677%,26.9841269841%
SuperBoring,nltk_0.60,1,100.0%,100.0%
SuperBoring,nltk_0.60,2,86.6666666667%,75.0%
SuperBoring,nltk_0.60,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.60,4,77.1428571429%,92.3076923077%
SuperBoring,nltk_0.60,5,65.1376146789%,78.3783783784%
SuperBoring,nltk_0.60,6,60.5633802817%,63.6363636364%
SuperBoring,nltk_0.60,7,58.2781456954%,55.5555555556%
SuperBoring,nltk_0.60,8,56.0975609756%,61.5384615385%
SuperBoring,nltk_0.60,9,56.7415730337%,71.4285714286%
SuperBoring,nltk_0.60,10,53.0303030303%,45.0%
SuperBoring,nltk_0.60,11,49.0322580645%,58.0357142857%
SuperBoring,nltk_0.60,12,46.9914040115%,51.2820512821%
SuperBoring,nltk_0.60,13,46.2395543175%,50.0%
SuperBoring,nltk_0.60,14,44.0265486726%,53.7634408602%
SuperBoring,nltk_0.60,15,42.7722772277%,50.9433962264%
SuperBoring,nltk_0.60,16,39.7913561848%,47.5903614458%
SuperBoring,nltk_0.60,17,39.3805309735%,28.5714285714%
SuperBoring,nltk_0.60,18,38.7518142235%,27.2727272727%
SuperBoring,nltk_0.60,19,38.8571428571%,54.5454545455%
SuperBoring,nltk_0.60,20,38.4507042254%,20.0%
SuperBoring,nltk_0.60,21,36.8553459119%,40.0%
SuperBoring,nltk_0.60,22,36.7574257426%,38.4615384615%
SuperBoring,nltk_0.60,23,36.3196125908%,33.3333333333%
SuperBoring,nltk_0.60,24,34.7581552306%,33.3333333333%
SuperBoring,nltk_0.80,1,100.0%,100.0%
SuperBoring,nltk_0.80,2,86.6666666667%,75.0%
SuperBoring,nltk_0.80,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.80,4,77.1428571429%,92.3076923077%
SuperBoring,nltk_0.80,5,65.1376146789%,78.3783783784%
SuperBoring,nltk_0.80,6,60.5633802817%,63.6363636364%
SuperBoring,nltk_0.80,7,58.2781456954%,55.5555555556%
SuperBoring,nltk_0.80,8,56.0975609756%,61.5384615385%
SuperBoring,nltk_0.80,9,56.7415730337%,71.4285714286%
SuperBoring,nltk_0.80,10,53.0303030303%,45.0%
SuperBoring,nltk_0.80,11,49.0322580645%,58.0357142857%
SuperBoring,nltk_0.80,12,46.9914040115%,51.2820512821%
SuperBoring,nltk_0.80,13,46.2395543175%,50.0%
SuperBoring,nltk_0.80,14,44.0265486726%,53.7634408602%
SuperBoring,nltk_0.80,15,42.7722772277%,50.9433962264%
SuperBoring,nltk_0.80,16,39.7913561848%,47.5903614458%
SuperBoring,nltk_0.80,17,39.3805309735%,28.5714285714%
SuperBoring,nltk_0.80,18,38.7518142235%,27.2727272727%
SuperBoring,nltk_0.80,19,38.8571428571%,54.5454545455%
SuperBoring,nltk_0.80,20,38.4507042254%,20.0%
SuperBoring,nltk_0.80,21,36.8553459119%,40.0%
SuperBoring,nltk_0.80,22,36.7574257426%,38.4615384615%
SuperBoring,nltk_0.80,23,36.3196125908%,33.3333333333%
SuperBoring,nltk_0.80,24,34.7581552306%,33.3333333333%
SuperBoring,word2vec_0.20,1,18.1818181818%,36.3636363636%
SuperBoring,word2vec_0.20,2,13.3333333333%,0.0%
SuperBoring,word2vec_0.20,3,13.6363636364%,14.2857142857%
SuperBoring,word2vec_0.20,4,11.4285714286%,15.3846153846%
SuperBoring,word2vec_0.20,5,4.5871559633%,5.40540540541%
SuperBoring,word2vec_0.20,6,4.22535211268%,3.0303030303%
SuperBoring,word2vec_0.20,7,3.97350993377%,0.0%
SuperBoring,word2vec_0.20,8,3.65853658537%,0.0%
SuperBoring,word2vec_0.20,9,3.37078651685%,0.0%
