,corr_true,dataset,decline_slope,method,run,threshold
0,0.780601012252,Boring,-0.0112371541502,nltk,nltk_0.20,0.20
1,0.745056074441,Boring,-0.0104664031621,nltk,nltk_0.40,0.40
2,0.747353943922,Boring,-0.00966403162055,nltk,nltk_0.60,0.60
3,0.747353943922,Boring,-0.00966403162055,nltk,nltk_0.80,0.80
4,0.265398731373,Boring,-0.000285902503294,word2vec,word2vec_0.20,0.20
5,0.55911736685,Boring,-0.00312911725955,word2vec,word2vec_0.40,0.40
6,0.768067490583,Boring,-0.00841765480896,word2vec,word2vec_0.60,0.60
7,0.73593108521,Boring,-0.00926613965744,word2vec,word2vec_0.80,0.80
8,0.878335405378,Exciting,-0.0126060606061,nltk,nltk_0.20,0.20
9,0.824387389218,Exciting,-0.0126534914361,nltk,nltk_0.40,0.40
10,0.820139551059,Exciting,-0.011768115942,nltk,nltk_0.60,0.60
11,0.820139551059,Exciting,-0.011768115942,nltk,nltk_0.80,0.80
12,0.691770571595,Exciting,-0.00153096179183,word2vec,word2vec_0.20,0.20
13,0.826027545337,Exciting,-0.00443214756258,word2vec,word2vec_0.40,0.40
14,0.877400999291,Exciting,-0.010628458498,word2vec,word2vec_0.60,0.60
15,0.831318073622,Exciting,-0.0119288537549,word2vec,word2vec_0.80,0.80
16,0.655872083445,NewAtEnd,-0.00888669301713,nltk,nltk_0.20,0.20
17,0.534319190255,NewAtEnd,-0.00800658761528,nltk,nltk_0.40,0.40
18,0.545937901372,NewAtEnd,-0.00842687747036,nltk,nltk_0.60,0.60
19,0.545937901372,NewAtEnd,-0.00842687747036,nltk,nltk_0.80,0.80
20,0.520048262718,NewAtEnd,-0.000399209486166,word2vec,word2vec_0.20,0.20
21,0.717803333497,NewAtEnd,-0.00395256916996,word2vec,word2vec_0.40,0.40
22,0.650549604701,NewAtEnd,-0.00795388669302,word2vec,word2vec_0.60,0.60
23,0.504343114793,NewAtEnd,-0.00798945981555,word2vec,word2vec_0.80,0.80
24,0.775512457282,Normal,-0.0134400527009,nltk,nltk_0.20,0.20
25,0.70018789537,Normal,-0.0123965744401,nltk,nltk_0.40,0.40
26,0.723354963509,Normal,-0.0125204216074,nltk,nltk_0.60,0.60
27,0.723354963509,Normal,-0.0125204216074,nltk,nltk_0.80,0.80
28,0.0892171603884,Normal,-0.000503293807642,word2vec,word2vec_0.20,0.20
29,0.4555780352,Normal,-0.00376021080369,word2vec,word2vec_0.40,0.40
30,0.652680112835,Normal,-0.00950197628458,word2vec,word2vec_0.60,0.60
31,0.698651973568,Normal,-0.0116455862978,word2vec,word2vec_0.80,0.80
32,0.891259969649,SuperBoring,-0.0111225296443,nltk,nltk_0.20,0.20
33,0.86126283073,SuperBoring,-0.0103214756258,nltk,nltk_0.40,0.40
34,0.875023141796,SuperBoring,-0.0106666666667,nltk,nltk_0.60,0.60
35,0.875023141796,SuperBoring,-0.0106666666667,nltk,nltk_0.80,0.80
36,0.592386624797,SuperBoring,-0.00153227931489,word2vec,word2vec_0.20,0.20
37,0.769541346615,SuperBoring,-0.00281686429513,word2vec,word2vec_0.40,0.40
38,0.831387092044,SuperBoring,-0.00763241106719,word2vec,word2vec_0.60,0.60
39,0.874216219759,SuperBoring,-0.0104466403162,word2vec,word2vec_0.80,0.80
