,corr_true,dataset,decline_slope,method,run,threshold
0,0.549539554188,Boring,-0.0011163372859,word2vec,word2vec_0.20,0.20
1,0.688932742744,Boring,-0.003030171278,word2vec,word2vec_0.30,0.30
2,0.872242256709,Boring,-0.00625322793149,word2vec,word2vec_0.40,0.40
3,0.773201879344,Boring,-0.00833860342556,word2vec,word2vec_0.50,0.50
4,0.809106280985,Boring,-0.010942687747,word2vec,word2vec_0.60,0.60
5,0.85793192614,Boring,-0.0141358366271,word2vec,word2vec_0.70,0.70
6,0.849933796918,Boring,-0.0132028985507,word2vec,word2vec_0.80,0.80
7,0.830987005029,Boring,-0.012881027668,word2vec,word2vec_0.90,0.90
8,0.309674552916,Exciting,-0.000101844532279,word2vec,word2vec_0.20,0.20
9,0.389884619598,Exciting,-0.00077628458498,word2vec,word2vec_0.30,0.30
10,0.749868461821,Exciting,-0.0031791831357,word2vec,word2vec_0.40,0.40
11,0.737691847006,Exciting,-0.00597061923584,word2vec,word2vec_0.50,0.50
12,0.821570527201,Exciting,-0.00965559947299,word2vec,word2vec_0.60,0.60
13,0.804055689709,Exciting,-0.00953754940711,word2vec,word2vec_0.70,0.70
14,0.768848689534,Exciting,-0.00866337285903,word2vec,word2vec_0.80,0.80
15,0.744057661536,Exciting,-0.00866996047431,word2vec,word2vec_0.90,0.90
16,0.288768972037,NewAtEnd,-0.00019512516469,word2vec,word2vec_0.20,0.20
17,0.400057159282,NewAtEnd,-0.000547826086957,word2vec,word2vec_0.30,0.30
18,0.580485241541,NewAtEnd,-0.00202490118577,word2vec,word2vec_0.40,0.40
19,0.653408298012,NewAtEnd,-0.00442450592885,word2vec,word2vec_0.50,0.50
20,0.649366443431,NewAtEnd,-0.00552898550725,word2vec,word2vec_0.60,0.60
21,0.531244860705,NewAtEnd,-0.0064371541502,word2vec,word2vec_0.70,0.70
22,0.500878184544,NewAtEnd,-0.00630184453228,word2vec,word2vec_0.80,0.80
23,0.493997298935,NewAtEnd,-0.00641712779974,word2vec,word2vec_0.90,0.90
24,0.544288415102,Normal,-0.000116996047431,word2vec,word2vec_0.20,0.20
25,0.675250111548,Normal,-0.00291725955204,word2vec,word2vec_0.30,0.30
26,0.824265416706,Normal,-0.00580606060606,word2vec,word2vec_0.40,0.40
27,0.835769349906,Normal,-0.00774334650856,word2vec,word2vec_0.50,0.50
28,0.895176294389,Normal,-0.0120380764163,word2vec,word2vec_0.60,0.60
29,0.85766951402,Normal,-0.0138383399209,word2vec,word2vec_0.70,0.70
30,0.832478725102,Normal,-0.0124256916996,word2vec,word2vec_0.80,0.80
31,0.801174435762,Normal,-0.0123865612648,word2vec,word2vec_0.90,0.90
32,0.607932059024,SuperBoring,-0.000950197628458,word2vec,word2vec_0.20,0.20
33,0.425119574568,SuperBoring,-0.000676152832675,word2vec,word2vec_0.30,0.30
34,0.773814779258,SuperBoring,-0.00271093544137,word2vec,word2vec_0.40,0.40
35,0.884037927554,SuperBoring,-0.00365638998682,word2vec,word2vec_0.50,0.50
36,0.921278191447,SuperBoring,-0.009269828722,word2vec,word2vec_0.60,0.60
37,0.905125542333,SuperBoring,-0.0109383399209,word2vec,word2vec_0.70,0.70
38,0.872125954316,SuperBoring,-0.0103990777339,word2vec,word2vec_0.80,0.80
39,0.878598890782,SuperBoring,-0.0106797101449,word2vec,word2vec_0.90,0.90
