dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,word2vec_0.20,1,0.091,0.364
SuperBoring,word2vec_0.20,2,0.067,0.000
SuperBoring,word2vec_0.20,3,0.091,0.143
SuperBoring,word2vec_0.20,4,0.086,0.154
SuperBoring,word2vec_0.20,5,0.037,0.068
SuperBoring,word2vec_0.20,6,0.035,0.030
SuperBoring,word2vec_0.20,7,0.033,0.000
SuperBoring,word2vec_0.20,8,0.030,0.000
SuperBoring,word2vec_0.20,9,0.028,0.000
SuperBoring,word2vec_0.20,10,0.030,0.050
SuperBoring,word2vec_0.20,11,0.016,0.009
SuperBoring,word2vec_0.20,12,0.017,0.051
SuperBoring,word2vec_0.20,13,0.017,0.000
SuperBoring,word2vec_0.20,14,0.018,0.043
SuperBoring,word2vec_0.20,15,0.022,0.057
SuperBoring,word2vec_0.20,16,0.018,0.048
SuperBoring,word2vec_0.20,17,0.021,0.286
SuperBoring,word2vec_0.20,18,0.019,0.000
SuperBoring,word2vec_0.20,19,0.019,0.000
SuperBoring,word2vec_0.20,20,0.020,0.100
SuperBoring,word2vec_0.20,21,0.019,0.012
SuperBoring,word2vec_0.20,22,0.019,0.000
SuperBoring,word2vec_0.20,23,0.018,0.000
SuperBoring,word2vec_0.20,24,0.017,0.000
SuperBoring,word2vec_0.20,25,0.017,0.000
SuperBoring,word2vec_0.20,26,0.016,0.000
SuperBoring,word2vec_0.20,27,0.016,0.000
SuperBoring,word2vec_0.20,28,0.018,0.087
SuperBoring,word2vec_0.20,29,0.020,0.105
SuperBoring,word2vec_0.20,30,0.019,0.000
SuperBoring,word2vec_0.20,31,0.018,0.000
SuperBoring,word2vec_0.20,32,0.018,0.000
SuperBoring,word2vec_0.20,33,0.018,0.000
SuperBoring,word2vec_0.20,34,0.018,0.063
SuperBoring,word2vec_0.20,35,0.017,0.022
SuperBoring,word2vec_0.20,36,0.017,0.000
SuperBoring,word2vec_0.20,37,0.017,0.000
SuperBoring,word2vec_0.20,38,0.016,0.000
SuperBoring,word2vec_0.20,39,0.016,0.000
SuperBoring,word2vec_0.20,40,0.016,0.000
SuperBoring,word2vec_0.20,41,0.015,0.000
SuperBoring,word2vec_0.20,42,0.015,0.000
SuperBoring,word2vec_0.20,43,0.015,0.000
SuperBoring,word2vec_0.20,44,0.015,0.000
SuperBoring,word2vec_0.20,45,0.014,0.000
SuperBoring,word2vec_0.30,1,0.000,0.364
SuperBoring,word2vec_0.30,2,0.067,0.500
SuperBoring,word2vec_0.30,3,0.045,0.143
SuperBoring,word2vec_0.30,4,0.086,0.231
SuperBoring,word2vec_0.30,5,0.055,0.108
SuperBoring,word2vec_0.30,6,0.049,0.061
SuperBoring,word2vec_0.30,7,0.046,0.000
SuperBoring,word2vec_0.30,8,0.043,0.000
SuperBoring,word2vec_0.30,9,0.039,0.000
SuperBoring,word2vec_0.30,10,0.030,0.050
SuperBoring,word2vec_0.30,11,0.023,0.036
SuperBoring,word2vec_0.30,12,0.029,0.077
SuperBoring,word2vec_0.30,13,0.028,0.000
SuperBoring,word2vec_0.30,14,0.029,0.054
SuperBoring,word2vec_0.30,15,0.032,0.057
SuperBoring,word2vec_0.30,16,0.027,0.060
SuperBoring,word2vec_0.30,17,0.029,0.286
SuperBoring,word2vec_0.30,18,0.028,0.000
SuperBoring,word2vec_0.30,19,0.027,0.000
SuperBoring,word2vec_0.30,20,0.028,0.100
SuperBoring,word2vec_0.30,21,0.025,0.035
SuperBoring,word2vec_0.30,22,0.025,0.000
SuperBoring,word2vec_0.30,23,0.024,0.000
SuperBoring,word2vec_0.30,24,0.021,0.000
SuperBoring,word2vec_0.30,25,0.021,0.000
SuperBoring,word2vec_0.30,26,0.021,0.000
SuperBoring,word2vec_0.30,27,0.020,0.000
SuperBoring,word2vec_0.30,28,0.021,0.043
SuperBoring,word2vec_0.30,29,0.023,0.105
SuperBoring,word2vec_0.30,30,0.022,0.000
SuperBoring,word2vec_0.30,31,0.021,0.000
SuperBoring,word2vec_0.30,32,0.021,0.000
SuperBoring,word2vec_0.30,33,0.021,0.000
SuperBoring,word2vec_0.30,34,0.021,0.063
SuperBoring,word2vec_0.30,35,0.021,0.022
SuperBoring,word2vec_0.30,36,0.021,0.000
SuperBoring,word2vec_0.30,37,0.021,0.000
SuperBoring,word2vec_0.30,38,0.021,0.000
SuperBoring,word2vec_0.30,39,0.021,0.000
SuperBoring,word2vec_0.30,40,0.020,0.000
SuperBoring,word2vec_0.30,41,0.019,0.000
SuperBoring,word2vec_0.30,42,0.019,0.000
SuperBoring,word2vec_0.30,43,0.019,0.000
SuperBoring,word2vec_0.30,44,0.019,0.000
SuperBoring,word2vec_0.30,45,0.019,0.000
SuperBoring,word2vec_0.40,1,0.182,0.455
SuperBoring,word2vec_0.40,2,0.200,0.500
SuperBoring,word2vec_0.40,3,0.136,0.143
