,dataset,method,timeSlice,GT_predict,TRUE,GT_predict_log
0,SuperBoring,word2vec_0.20,1,0.091,0.364,-1.04095860768
1,SuperBoring,word2vec_0.20,2,0.067,0.0,-1.1739251973
2,SuperBoring,word2vec_0.20,3,0.091,0.143,-1.04095860768
3,SuperBoring,word2vec_0.20,4,0.086,0.154,-1.06550154876
4,SuperBoring,word2vec_0.20,5,0.037,0.068,-1.43179827593
5,SuperBoring,word2vec_0.20,6,0.035,0.03,-1.45593195565
6,SuperBoring,word2vec_0.20,7,0.033,0.0,-1.48148606012
7,SuperBoring,word2vec_0.20,8,0.03,0.0,-1.52287874528
8,SuperBoring,word2vec_0.20,9,0.028,0.0,-1.55284196866
9,SuperBoring,word2vec_0.20,10,0.03,0.05,-1.52287874528
10,SuperBoring,word2vec_0.20,11,0.016,0.009,-1.79588001734
11,SuperBoring,word2vec_0.20,12,0.017,0.051,-1.76955107862
12,SuperBoring,word2vec_0.20,13,0.017,0.0,-1.76955107862
13,SuperBoring,word2vec_0.20,14,0.018,0.043,-1.7447274949
14,SuperBoring,word2vec_0.20,15,0.022,0.057,-1.65757731918
15,SuperBoring,word2vec_0.20,16,0.018,0.048,-1.7447274949
16,SuperBoring,word2vec_0.20,17,0.021,0.286,-1.67778070527
17,SuperBoring,word2vec_0.20,18,0.019,0.0,-1.72124639905
18,SuperBoring,word2vec_0.20,19,0.019,0.0,-1.72124639905
19,SuperBoring,word2vec_0.20,20,0.02,0.1,-1.69897000434
20,SuperBoring,word2vec_0.20,21,0.019,0.012,-1.72124639905
21,SuperBoring,word2vec_0.20,22,0.019,0.0,-1.72124639905
22,SuperBoring,word2vec_0.20,23,0.018,0.0,-1.7447274949
23,SuperBoring,word2vec_0.20,24,0.017,0.0,-1.76955107862
24,SuperBoring,word2vec_0.20,25,0.017,0.0,-1.76955107862
25,SuperBoring,word2vec_0.20,26,0.016,0.0,-1.79588001734
26,SuperBoring,word2vec_0.20,27,0.016,0.0,-1.79588001734
27,SuperBoring,word2vec_0.20,28,0.018,0.087,-1.7447274949
28,SuperBoring,word2vec_0.20,29,0.02,0.105,-1.69897000434
29,SuperBoring,word2vec_0.20,30,0.019,0.0,-1.72124639905
30,SuperBoring,word2vec_0.20,31,0.018,0.0,-1.7447274949
31,SuperBoring,word2vec_0.20,32,0.018,0.0,-1.7447274949
32,SuperBoring,word2vec_0.20,33,0.018,0.0,-1.7447274949
33,SuperBoring,word2vec_0.20,34,0.018,0.063,-1.7447274949
34,SuperBoring,word2vec_0.20,35,0.017,0.022,-1.76955107862
35,SuperBoring,word2vec_0.20,36,0.017,0.0,-1.76955107862
36,SuperBoring,word2vec_0.20,37,0.017,0.0,-1.76955107862
37,SuperBoring,word2vec_0.20,38,0.016,0.0,-1.79588001734
38,SuperBoring,word2vec_0.20,39,0.016,0.0,-1.79588001734
39,SuperBoring,word2vec_0.20,40,0.016,0.0,-1.79588001734
40,SuperBoring,word2vec_0.20,41,0.015,0.0,-1.82390874094
41,SuperBoring,word2vec_0.20,42,0.015,0.0,-1.82390874094
42,SuperBoring,word2vec_0.20,43,0.015,0.0,-1.82390874094
43,SuperBoring,word2vec_0.20,44,0.015,0.0,-1.82390874094
44,SuperBoring,word2vec_0.20,45,0.014,0.0,-1.85387196432
45,SuperBoring,word2vec_0.30,1,0.0,0.364,-inf
46,SuperBoring,word2vec_0.30,2,0.067,0.5,-1.1739251973
47,SuperBoring,word2vec_0.30,3,0.045,0.143,-1.34678748622
48,SuperBoring,word2vec_0.30,4,0.086,0.231,-1.06550154876
49,SuperBoring,word2vec_0.30,5,0.055,0.108,-1.25963731051
50,SuperBoring,word2vec_0.30,6,0.049,0.061,-1.30980391997
51,SuperBoring,word2vec_0.30,7,0.046,0.0,-1.33724216832
52,SuperBoring,word2vec_0.30,8,0.043,0.0,-1.36653154442
53,SuperBoring,word2vec_0.30,9,0.039,0.0,-1.40893539297
54,SuperBoring,word2vec_0.30,10,0.03,0.05,-1.52287874528
55,SuperBoring,word2vec_0.30,11,0.023,0.036,-1.63827216398
56,SuperBoring,word2vec_0.30,12,0.029,0.077,-1.5376020021
57,SuperBoring,word2vec_0.30,13,0.028,0.0,-1.55284196866
58,SuperBoring,word2vec_0.30,14,0.029,0.054,-1.5376020021
59,SuperBoring,word2vec_0.30,15,0.032,0.057,-1.49485002168
60,SuperBoring,word2vec_0.30,16,0.027,0.06,-1.56863623584
61,SuperBoring,word2vec_0.30,17,0.029,0.286,-1.5376020021
62,SuperBoring,word2vec_0.30,18,0.028,0.0,-1.55284196866
63,SuperBoring,word2vec_0.30,19,0.027,0.0,-1.56863623584
64,SuperBoring,word2vec_0.30,20,0.028,0.1,-1.55284196866
65,SuperBoring,word2vec_0.30,21,0.025,0.035,-1.60205999133
66,SuperBoring,word2vec_0.30,22,0.025,0.0,-1.60205999133
67,SuperBoring,word2vec_0.30,23,0.024,0.0,-1.61978875829
68,SuperBoring,word2vec_0.30,24,0.021,0.0,-1.67778070527
69,SuperBoring,word2vec_0.30,25,0.021,0.0,-1.67778070527
70,SuperBoring,word2vec_0.30,26,0.021,0.0,-1.67778070527
71,SuperBoring,word2vec_0.30,27,0.02,0.0,-1.69897000434
72,SuperBoring,word2vec_0.30,28,0.021,0.043,-1.67778070527
73,SuperBoring,word2vec_0.30,29,0.023,0.105,-1.63827216398
74,SuperBoring,word2vec_0.30,30,0.022,0.0,-1.65757731918
75,SuperBoring,word2vec_0.30,31,0.021,0.0,-1.67778070527
76,SuperBoring,word2vec_0.30,32,0.021,0.0,-1.67778070527
77,SuperBoring,word2vec_0.30,33,0.021,0.0,-1.67778070527
78,SuperBoring,word2vec_0.30,34,0.021,0.063,-1.67778070527
79,SuperBoring,word2vec_0.30,35,0.021,0.022,-1.67778070527
80,SuperBoring,word2vec_0.30,36,0.021,0.0,-1.67778070527
81,SuperBoring,word2vec_0.30,37,0.021,0.0,-1.67778070527
82,SuperBoring,word2vec_0.30,38,0.021,0.0,-1.67778070527
83,SuperBoring,word2vec_0.30,39,0.021,0.0,-1.67778070527
84,SuperBoring,word2vec_0.30,40,0.02,0.0,-1.69897000434
85,SuperBoring,word2vec_0.30,41,0.019,0.0,-1.72124639905
86,SuperBoring,word2vec_0.30,42,0.019,0.0,-1.72124639905
87,SuperBoring,word2vec_0.30,43,0.019,0.0,-1.72124639905
88,SuperBoring,word2vec_0.30,44,0.019,0.0,-1.72124639905
89,SuperBoring,word2vec_0.30,45,0.019,0.0,-1.72124639905
90,SuperBoring,word2vec_0.40,1,0.182,0.455,-0.739928612015
91,SuperBoring,word2vec_0.40,2,0.2,0.5,-0.698970004336
92,SuperBoring,word2vec_0.40,3,0.136,0.143,-0.86646109163
93,SuperBoring,word2vec_0.40,4,0.2,0.385,-0.698970004336
94,SuperBoring,word2vec_0.40,5,0.128,0.203,-0.892790030352
95,SuperBoring,word2vec_0.40,6,0.148,0.212,-0.829738284605
96,SuperBoring,word2vec_0.40,7,0.126,0.0,-0.899629454882
97,SuperBoring,word2vec_0.40,8,0.122,0.077,-0.913640169325
98,SuperBoring,word2vec_0.40,9,0.107,0.071,-0.970616222315
99,SuperBoring,word2vec_0.40,10,0.096,0.1,-1.01772876696
100,SuperBoring,word2vec_0.40,11,0.074,0.107,-1.13076828027
101,SuperBoring,word2vec_0.40,12,0.063,0.103,-1.20065945055
102,SuperBoring,word2vec_0.40,13,0.07,0.3,-1.15490195999
103,SuperBoring,word2vec_0.40,14,0.071,0.118,-1.14874165128
104,SuperBoring,word2vec_0.40,15,0.073,0.113,-1.13667713988
105,SuperBoring,word2vec_0.40,16,0.069,0.096,-1.16115090926
106,SuperBoring,word2vec_0.40,17,0.071,0.286,-1.14874165128
107,SuperBoring,word2vec_0.40,18,0.065,0.0,-1.18708664336
108,SuperBoring,word2vec_0.40,19,0.064,0.0,-1.19382002602
109,SuperBoring,word2vec_0.40,20,0.065,0.1,-1.18708664336
110,SuperBoring,word2vec_0.40,21,0.057,0.047,-1.24412514433
111,SuperBoring,word2vec_0.40,22,0.057,0.154,-1.24412514433
112,SuperBoring,word2vec_0.40,23,0.054,0.0,-1.26760624018
113,SuperBoring,word2vec_0.40,24,0.048,0.0,-1.31875876262
114,SuperBoring,word2vec_0.40,25,0.047,0.0,-1.32790214206
115,SuperBoring,word2vec_0.40,26,0.047,0.0,-1.32790214206
116,SuperBoring,word2vec_0.40,27,0.046,0.0,-1.33724216832
117,SuperBoring,word2vec_0.40,28,0.047,0.087,-1.32790214206
118,SuperBoring,word2vec_0.40,29,0.048,0.105,-1.31875876262
119,SuperBoring,word2vec_0.40,30,0.047,0.0,-1.32790214206
120,SuperBoring,word2vec_0.40,31,0.046,0.111,-1.33724216832
121,SuperBoring,word2vec_0.40,32,0.046,0.0,-1.33724216832
122,SuperBoring,word2vec_0.40,33,0.046,0.111,-1.33724216832
123,SuperBoring,word2vec_0.40,34,0.046,0.063,-1.33724216832
124,SuperBoring,word2vec_0.40,35,0.044,0.043,-1.35654732351
125,SuperBoring,word2vec_0.40,36,0.043,0.0,-1.36653154442
126,SuperBoring,word2vec_0.40,37,0.043,0.0,-1.36653154442
127,SuperBoring,word2vec_0.40,38,0.043,0.0,-1.36653154442
128,SuperBoring,word2vec_0.40,39,0.043,0.083,-1.36653154442
129,SuperBoring,word2vec_0.40,40,0.043,0.0,-1.36653154442
130,SuperBoring,word2vec_0.40,41,0.041,0.0,-1.38721614328
131,SuperBoring,word2vec_0.40,42,0.041,0.0,-1.38721614328
132,SuperBoring,word2vec_0.40,43,0.041,0.0,-1.38721614328
133,SuperBoring,word2vec_0.40,44,0.041,0.1,-1.38721614328
134,SuperBoring,word2vec_0.40,45,0.041,0.0,-1.38721614328
135,SuperBoring,word2vec_0.50,1,0.273,0.636,-0.563837352959
136,SuperBoring,word2vec_0.50,2,0.267,0.5,-0.573488738635
137,SuperBoring,word2vec_0.50,3,0.182,0.143,-0.739928612015
138,SuperBoring,word2vec_0.50,4,0.257,0.462,-0.590066876669
139,SuperBoring,word2vec_0.50,5,0.183,0.338,-0.73754891027
140,SuperBoring,word2vec_0.50,6,0.204,0.364,-0.690369832574
141,SuperBoring,word2vec_0.50,7,0.199,0.222,-0.70114692359
142,SuperBoring,word2vec_0.50,8,0.189,0.231,-0.723538195827
143,SuperBoring,word2vec_0.50,9,0.197,0.357,-0.705533773838
144,SuperBoring,word2vec_0.50,10,0.177,0.15,-0.752026733638
145,SuperBoring,word2vec_0.50,11,0.158,0.223,-0.801342913046
146,SuperBoring,word2vec_0.50,12,0.152,0.231,-0.818156412055
147,SuperBoring,word2vec_0.50,13,0.15,0.3,-0.823908740944
148,SuperBoring,word2vec_0.50,14,0.142,0.215,-0.847711655617
149,SuperBoring,word2vec_0.50,15,0.139,0.17,-0.856985199746
150,SuperBoring,word2vec_0.50,16,0.115,0.145,-0.939302159646
151,SuperBoring,word2vec_0.50,17,0.117,0.286,-0.931814138254
152,SuperBoring,word2vec_0.50,18,0.115,0.182,-0.939302159646
153,SuperBoring,word2vec_0.50,19,0.113,0.0,-0.946921556517
154,SuperBoring,word2vec_0.50,20,0.114,0.2,-0.943095148664
155,SuperBoring,word2vec_0.50,21,0.104,0.106,-0.982966660701
156,SuperBoring,word2vec_0.50,22,0.103,0.077,-0.987162775295
157,SuperBoring,word2vec_0.50,23,0.099,0.0,-1.0043648054
158,SuperBoring,word2vec_0.50,24,0.091,0.029,-1.04095860768
159,SuperBoring,word2vec_0.50,25,0.088,0.0,-1.05551732785
160,SuperBoring,word2vec_0.50,26,0.087,0.0,-1.06048074738
161,SuperBoring,word2vec_0.50,27,0.086,0.0,-1.06550154876
162,SuperBoring,word2vec_0.50,28,0.088,0.174,-1.05551732785
163,SuperBoring,word2vec_0.50,29,0.088,0.105,-1.05551732785
164,SuperBoring,word2vec_0.50,30,0.088,0.143,-1.05551732785
165,SuperBoring,word2vec_0.50,31,0.088,0.111,-1.05551732785
166,SuperBoring,word2vec_0.50,32,0.085,0.0,-1.07058107429
167,SuperBoring,word2vec_0.50,33,0.086,0.111,-1.06550154876
168,SuperBoring,word2vec_0.50,34,0.086,0.188,-1.06550154876
169,SuperBoring,word2vec_0.50,35,0.085,0.109,-1.07058107429
170,SuperBoring,word2vec_0.50,36,0.085,0.0,-1.07058107429
171,SuperBoring,word2vec_0.50,37,0.084,0.0,-1.07572071394
172,SuperBoring,word2vec_0.50,38,0.084,0.0,-1.07572071394
173,SuperBoring,word2vec_0.50,39,0.083,0.0,-1.08092190762
174,SuperBoring,word2vec_0.50,40,0.082,0.0,-1.08618614762
175,SuperBoring,word2vec_0.50,41,0.08,0.0,-1.09691001301
176,SuperBoring,word2vec_0.50,42,0.079,0.0,-1.10237290871
177,SuperBoring,word2vec_0.50,43,0.078,0.0,-1.10790539731
