,corr_true,dataset,decline_slope,exp_slope,method,run,threshold
0,0.789896397361,0EVEO6UQAU,-0.334500017473,,word2vec,word2vec_0.20,0.20
1,0.218610925889,0EVEO6UQAU,0.204668276621,,word2vec,word2vec_0.30,0.30
2,0.365993783171,0EVEO6UQAU,-0.0983913896154,-0.00125251885732,word2vec,word2vec_0.40,0.40
3,0.416802679147,0EVEO6UQAU,-0.148927352692,-0.00221178342518,word2vec,word2vec_0.50,0.50
4,0.356065563677,0EVEO6UQAU,0.117356148462,0.00154282572937,word2vec,word2vec_0.60,0.60
5,0.493712296584,0EVEO6UQAU,-0.327063817912,-0.00223922912702,word2vec,word2vec_0.70,0.70
6,0.49530988381,0EVEO6UQAU,-0.891762519121,-0.0057365643165,word2vec,word2vec_0.80,0.80
7,0.467852357361,0EVEO6UQAU,-1.29507490049,-0.00760850008557,word2vec,word2vec_0.90,0.90
8,0.780580843687,0PC95RO1CF,-1.35077192867,-0.107358977247,word2vec,word2vec_0.20,0.20
9,0.792132480334,0PC95RO1CF,-1.98475630642,-0.0852079985901,word2vec,word2vec_0.30,0.30
10,0.834760521589,0PC95RO1CF,-3.708324708,-0.062897620531,word2vec,word2vec_0.40,0.40
11,0.627530633893,0PC95RO1CF,-5.18057042733,-0.0460602718164,word2vec,word2vec_0.50,0.50
12,0.818579529522,0PC95RO1CF,-6.4315974465,-0.0398696308852,word2vec,word2vec_0.60,0.60
13,0.829067217688,0PC95RO1CF,-4.61938646833,-0.025923521235,word2vec,word2vec_0.70,0.70
14,0.889015899767,0PC95RO1CF,-4.134885042,-0.0223056719276,word2vec,word2vec_0.80,0.80
15,0.889015899767,0PC95RO1CF,-4.134885042,-0.0223056719276,word2vec,word2vec_0.90,0.90
16,0.612407170579,0RV9UR7SRB,-0.894246519631,,word2vec,word2vec_0.20,0.20
17,0.429459334546,0RV9UR7SRB,-0.0697870882143,-0.00260344323229,word2vec,word2vec_0.30,0.30
18,0.415731323659,0RV9UR7SRB,1.14075357774,0.0239101818057,word2vec,word2vec_0.40,0.40
19,0.580495296102,0RV9UR7SRB,1.94078383845,0.0223826010585,word2vec,word2vec_0.50,0.50
20,0.684309037075,0RV9UR7SRB,-1.20534495619,-0.00774552444693,word2vec,word2vec_0.60,0.60
21,-0.140749393254,0RV9UR7SRB,0.546462975238,0.00321379841229,word2vec,word2vec_0.70,0.70
22,-0.140749393254,0RV9UR7SRB,0.546462975238,0.00321379841229,word2vec,word2vec_0.80,0.80
23,-0.140749393254,0RV9UR7SRB,0.546462975238,0.00321379841229,word2vec,word2vec_0.90,0.90
24,0.824477949577,0W0GZS18IR,-0.3797852477,-0.126778715962,word2vec,word2vec_0.20,0.20
25,0.797869355833,0W0GZS18IR,-1.5627917833,-0.126778715843,word2vec,word2vec_0.30,0.30
