"","userName","X","cond","fluencyIdeas","ideas","toStuck","refreshStuck","starred","baseFluency","iii_max_overall","iii_mean_fromStuck","iii_mean_overall","iii_mean_withinRoll","iii_min_overall","iii_sd_overall","glove_mean","glove_min","glove_max","glove_sd","pair_glove_mean","pair_glove_min","pair_glove_max","pair_glove_sd","anyStuck","roll","novelty_z_mean","novelty_z_max"
"1","A11S43P3WNLIZD",104,"Near-Near",5,4,0,0,0,5,187.255,NA,90.577,90.577,29.08,69.2007212245653,0.111058801412582,0.103722035884857,0.118395566940308,0.0103757533132604,0.783594286690156,0.54865936934948,0.902537249028683,0.138659365086681,0,"Near",-0.215389849203354,0.176397572567645
"2","A12J4IRF5Z06BT",138,"pInspControl",3,6,0,0,0,3,152.948,NA,81.2076,81.2076,49.447,36.5912705469487,0.169730531983078,0.12249880284071,0.206994876265526,0.0377364349115493,0.841910388390534,0.670757859945297,0.984487473149784,0.0843515707717482,0,"Near",-0.291455858688687,0.963906383321385
"3","A144CG4DJ1O4P3",0,"Far-Far",1,5,0,0,0,1,129.355,NA,61.61575,61.61575,27.186,40.1089688247841,0.14622299047187,0.0489233247935772,0.339034095406532,0.166981708812756,0.847723533818498,0.660965904593468,0.951076675206423,0.0992478863012447,0,"Far",-0.251269854344635,0.379159216847995
"4","A14D297BQB6QF3",105,"Near-Near",7,6,0,0,0,7,123.75,NA,76.3854,76.3854,48.695,29.1124002624311,0.109101497102529,0.0566460434347391,0.166338108479977,0.0463480188438955,0.89052237290889,0.801927171647549,0.972278457134962,0.0500843551203093,0,"Near",0.559985780974404,1.00694146024001
"5","A14T60VQBBEF35",67,"Near-Far",0,4,0,0,0,0,144.319,NA,100.484333333333,100.484333333333,69.6840000000001,31.8330665643272,0.0483483681455255,0.0187658602371812,0.0779308760538697,0.0418359838929898,0.9548367044578,0.92206912394613,0.981234139762819,0.0300925046583465,0,"Near",0.515058068865572,1.1521152384031
"6","A18T7E73TNGOKP",35,"Far-Near",1,2,1,3,0,1,330.926,330.926,330.926,NA,330.926,0,NA,NA,NA,NA,0.789290338754654,0.789290338754654,0.789290338754654,NA,1,"Far",0.488863573051555,0.597214881239169
"7","A1909MOQZUXZZ5",68,"Near-Far",7,22,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Near",NA,NA
"8","A191C7LXF3HKCJ",139,"pInspControl",0,5,0,0,0,0,173.219,NA,95.09525,95.09525,59.527,45.5283019471131,0.0400963126060863,-0.0810611043125391,0.154981594532728,0.11814628084522,0.906961371889338,0.720900729298592,1.08106110431254,0.114560241411932,0,"Near",0.42898967027158,0.711904195663504
"9","A19406O89BADON",36,"Far-Near",2,9,1,0,0,2,74.374,50.79525,50.79525,NA,25.965,15.2015861487379,0.204559198447636,0.0963757261633873,0.392002500593662,0.112362525559434,0.837208980982218,0.605017885565758,0.97837838716805,0.0968873563145209,1,"Far",0.00488314239717773,1.24081769745029
"10","A194WQMJAGAJG5",1,"Far-Far",0,2,1,0,0,0,178.161,NA,178.161,178.161,178.161,0,NA,NA,NA,NA,1.03297366574407,1.03297366574407,1.03297366574407,NA,1,"Far",-0.171818633003388,0.422940996281067
"11","A19KF02ULCISTQ",69,"Near-Far",0,5,1,0,0,0,101.92,NA,88.6255,88.6255,77.509,8.82562786718315,0.188955658425887,0.136129029095173,0.257180083543062,0.0619770806996233,0.799449358833954,0.691794544458389,0.893601374235004,0.0627319921134721,1,"Near",0.570183808359086,1.1076895214049
"12","A1ARROVE5ZA4HM",140,"pInspControl",6,7,0,0,0,6,44.267,NA,24.2886666666667,24.2886666666667,10.359,12.162769622454,0.123743399977684,0.0568847581744194,0.19029288738966,0.0667046019215003,0.867104548215866,0.710465312004089,0.974142467603087,0.0785148420908524,0,"Near",-0.0538007848527469,1.01310335572259
"13","A1B5SSGMTAQ9B5",2,"Far-Far",0,5,0,0,0,0,218.621,NA,83.601,83.601,23.999,78.849959502209,0.336042763354878,0.170323637314141,0.601322554051876,0.232108295882273,0.823152124322951,0.763517901301384,0.870015406981111,0.0381779637348102,0,"Far",-0.634601462256142,-0.399673400638084
"14","A1B7QPPS5Q43EX",141,"pInspControl",0,8,0,0,0,0,102.324,NA,60.9141428571429,60.9141428571429,31.694,26.554770049996,0.203072235919535,0.0475512780249119,0.547599166631699,0.231827037977848,0.829287487982462,0.452400833368301,0.982236702926457,0.13515092054407,0,"Near",0.105542263072668,1.89282071870126
"15","A1BKQCFVTE9173",70,"Near-Far",6,11,0,0,5,6,82.124,NA,45.8575,45.8575,27.159,15.595169272887,0.201484541977859,0.0865648537874222,0.376383349299431,0.0889633118283244,0.806828938795,0.623616650700569,1.01455187413376,0.0779261076944561,0,"Near",0.328476382450699,1.80648340243637
"16","A1BMNQOIQHH21N",3,"Far-Far",0,2,0,0,0,0,388.399,NA,388.399,388.399,388.399,0,NA,NA,NA,NA,0.841026241891086,0.841026241891086,0.841026241891086,NA,0,"Far",-0.340843743928931,-0.271272524133134
"17","A1C0P72V4V16QN",4,"Far-Far",0,8,1,0,3,0,82.484,67.827,57.4415714285714,49.6525,41.863,15.2588466223662,0.0618421856003503,-0.0740522556006908,0.305878862738609,0.140631633018438,0.856817696110478,0.596151299774647,1.07405225560069,0.121048788535202,1,"Far",0.119365462514528,0.859785272185142
"18","A1CFUMXK9QFT9M",106,"Near-Near",3,12,0,0,5,3,62.996,NA,40.3668181818182,40.3668181818182,21.415,12.5034763807233,0.151809620857239,0.0454048532992601,0.288960009813309,0.0896146480745572,0.869183582576542,0.702958784997463,1.03207412734628,0.0831002429107286,0,"Near",0.459214576296732,1.64315108061654
"19","A1CKIYN01NV9GJ",5,"Far-Far",2,5,3,4,0,2,97.959,49.496,63.22175,76.9475,44.154,20.5768379783557,0.165495131164789,0.144449684768915,0.187439605593681,0.0215090565037853,0.890696927951649,0.793923832476139,1.03750324808061,0.0852753164177105,1,"Far",-0.830986727376019,0.0213733971299075
"20","A1D01TUSE0H5TW",142,"pInspControl",1,6,0,0,0,1,127.438,NA,79.4928,79.4928,53.387,26.3378534691042,0.126675212755799,0.0336342677474022,0.257105559110641,0.0993522384463096,0.850671508039037,0.659153439104557,1.02915083058178,0.126484957219174,0,"Near",-0.248801128582135,1.16330897391194
"21","A1E19W3O1EQYA",107,"Near-Near",5,6,2,1,0,5,108.399,80.358,85.9662,108.399,62.006,17.2871125339081,0.230429947376251,0.173415042459965,0.264748752117157,0.0405585597157733,0.770515789712469,0.539570495486259,0.922356057912111,0.090988837880527,1,"Near",0.457557824390912,1.17380573506817
"22","A1ENTWNZQLZ3K",6,"Far-Far",6,4,1,0,0,6,164.716,164.716,135.354,120.673,110.545,22.3483283043723,0.0393106732517481,0.0390704646706581,0.0395508818328381,0.000339706233175838,0.959469689366718,0.881188469007611,1.09238884970546,0.0759203319328486,1,"Far",0.0862566366500097,1
"23","A1ESM3HT7G0E6Z",71,"Near-Far",5,4,1,9,4,5,106.846,NA,98.6306666666667,98.6306666666667,92.588,6.02013296272486,0.278070256114006,0.214686676859856,0.341453835368156,0.0896379174129694,0.769626510639985,0.635287553071976,0.916158471256495,0.11548950483974,1,"Near",-0.316908088544109,0.763319042173849
"24","A1GBOH6P5JZ681",7,"Far-Far",0,9,0,0,0,0,72.591,NA,49.01325,49.01325,23.547,12.585613212613,0.0643095331532615,-0.126439731568098,0.234681889414787,0.132982555684353,0.903344163535318,0.752746865153313,1.1264397315681,0.0875956850678611,0,"Far",0.146827738271971,1.06264248025605
"25","A1IEW5EXDOKMKD",72,"Near-Far",6,9,0,0,6,6,61.076,NA,47.554125,47.554125,38.032,7.04268117334406,0.282655805607127,0.141057478205767,0.447580933570862,0.104173642115316,0.778610274740559,0.552419066429138,0.921852889470756,0.0878416994156349,0,"Near",0.158888821923446,0.650665027337416
"26","A1IS0218RVG60K",8,"Far-Far",0,6,1,0,0,0,156.604,73.9992,73.9992,NA,25.677,45.5059078951294,0.320899208076298,0.065107200294733,0.594055354595184,0.290741584818464,0.922576238789285,0.820268448442221,1.02937963884324,0.0686239509494342,1,"Far",0.404860414595715,1.07596768542544
"27","A1IXUTQDYODKJI",73,"Near-Far",0,4,2,5,0,0,178.609,123.097,108.194,78.388,67.5849999999999,49.9858671426235,0.344324793666601,0.00889138132333755,0.679758206009865,0.47437448100893,0.879502269439399,0.77841755002737,0.991108618676662,0.097299270823768,1,"Near",-0.216896952357665,-0.0235568557708294
"28","A1JFQYGO8M6EWX",108,"Near-Near",5,10,1,0,0,5,87.702,64.072,51.5703333333333,47.9984285714286,30.061,17.5802326302394,0.190278886875603,0.0403530411422253,0.269941471517086,0.0782321637610387,0.849583054716802,0.65345510840416,1.12735384330153,0.102180235185664,1,"Near",-0.0936915124983008,0.630276269015426
"29","A1KDMPYXFE8ZAZ",37,"Far-Near",7,12,1,0,0,7,64.151,60.5505,29.7047272727273,22.8501111111111,9.49799999999999,16.4843380824505,0.162997333309613,-0.0929656438529491,0.531213130801916,0.196453210153925,0.849473964939755,0.468786869198084,1.09296564385295,0.135295780903118,1,"Far",-0.487078951808676,0.729222389598123
"30","A1NITMHYG5YL3H",109,"Near-Near",0,3,1,0,0,0,122.446,NA,97.0565,97.0565,71.667,25.3895,0.437716245651245,0.437716245651245,0.437716245651245,NA,0.681182652711868,0.562283754348755,0.807097472250462,0.12255756394719,1,"Near",0.661708796468693,0.758466982356156
"31","A1O901WTP8TNIE",38,"Far-Near",1,3,1,3,1,1,135.185,NA,110.542,110.542,85.899,24.643,0.146790068596601,0.146790068596601,0.146790068596601,NA,0.879553055623546,0.819748070091009,0.965701165376231,0.0764594444859029,1,"Far",-0.35865364646313,0.0907361094157487
"32","A1OFS99W7B2RET",143,"pInspControl",0,9,0,0,0,0,105.112,NA,45.967875,45.967875,25.632,25.3782015686568,0.130465543363243,-0.0575349144637585,0.229032799601555,0.0985161194814634,0.854197170190875,0.643789723515511,1.05753491446376,0.110354629132482,0,"Near",0.477817674537244,1.07417742607785
"33","A1OK974KXKO6FJ",110,"Near-Near",6,9,0,0,0,6,82.216,NA,54.24025,54.24025,34.731,16.560004678064,0.388706590448107,0.265600308775902,0.705189034342766,0.145705831752495,0.731213282069398,0.294810965657234,0.931866902858019,0.13990383264995,0,"Near",-0.454062732984832,0.0636376794504086
