dataset,method,timeSlice,GT_predict,true
Normal,nltk_0.60,1,81.0810810811%,89.1891891892%
Normal,nltk_0.60,2,81.6326530612%,91.6666666667%
Normal,nltk_0.60,3,83.6363636364%,100.0%
Normal,nltk_0.60,4,81.6901408451%,87.5%
Normal,nltk_0.60,5,64.5669291339%,67.8571428571%
Normal,nltk_0.60,6,63.9705882353%,77.7777777778%
Normal,nltk_0.60,7,65.9722222222%,100.0%
Normal,nltk_0.60,8,66.8789808917%,84.6153846154%
Normal,nltk_0.60,9,65.4545454545%,62.5%
Normal,nltk_0.60,10,62.3655913978%,57.1428571429%
Normal,nltk_0.60,11,59.1743119266%,62.5%
Normal,nltk_0.60,12,57.264957265%,56.25%
Normal,nltk_0.60,13,55.3278688525%,40.0%
Normal,nltk_0.60,14,55.46875%,75.0%
Normal,nltk_0.60,15,54.8387096774%,64.8148148148%
Normal,nltk_0.60,16,53.5384615385%,46.6666666667%
Normal,nltk_0.60,17,51.3196480938%,37.5%
Normal,nltk_0.60,18,49.4145199063%,61.6279069767%
Normal,nltk_0.60,19,47.4137931034%,43.2432432432%
Normal,nltk_0.60,20,41.3183279743%,46.2025316456%
Normal,nltk_0.60,21,41.307814992%,40.0%
Normal,nltk_0.60,22,39.4894894895%,25.641025641%
Normal,nltk_0.60,23,37.4655647383%,36.6666666667%
Normal,nltk_0.60,24,35.9163591636%,40.2298850575%
Normal,nltk_0.60,25,35.6711003628%,28.5714285714%
Normal,nltk_0.60,26,35.3571428571%,23.0769230769%
Normal,nltk_0.60,27,35.0289017341%,32.0%
Normal,nltk_0.60,28,34.7826086957%,44.4444444444%
Normal,nltk_0.60,29,34.8416289593%,50.0%
Normal,nltk_0.60,30,33.9149400218%,39.3939393939%
Normal,nltk_0.60,31,33.8329764454%,35.2941176471%
Normal,nltk_0.60,32,33.4741288279%,15.3846153846%
Normal,nltk_0.60,33,32.7900287632%,39.5833333333%
Normal,nltk_0.60,34,31.1433447099%,34.8837209302%
Normal,nltk_0.60,35,29.734085415%,28.9855072464%
Normal,nltk_0.60,36,29.5275590551%,37.9310344828%
Normal,nltk_0.60,37,29.3979671618%,33.3333333333%
Normal,nltk_0.60,38,30.7458143075%,82.8571428571%
Normal,nltk_0.60,39,30.5891238671%,30.0%
Normal,nltk_0.60,40,30.8669656203%,57.1428571429%
Normal,nltk_0.60,41,30.7349665924%,22.2222222222%
Normal,nltk_0.60,42,30.5657604702%,21.4285714286%
Normal,nltk_0.60,43,30.3708887334%,39.7058823529%
Normal,nltk_0.60,44,30.4741980474%,60.0%
Normal,nltk_0.60,45,30.5226480836%,100.0%
