dataset,method,timeSlice,GT_predict,true
SuperBoring,nltk_0.20,1,100.0%,100.0%
SuperBoring,nltk_0.20,2,86.6666666667%,75.0%
SuperBoring,nltk_0.20,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.20,4,71.4285714286%,84.6153846154%
SuperBoring,nltk_0.20,5,46.7889908257%,64.8648648649%
SuperBoring,nltk_0.20,6,44.3661971831%,54.5454545455%
SuperBoring,nltk_0.20,7,43.0463576159%,55.5555555556%
SuperBoring,nltk_0.20,8,40.8536585366%,46.1538461538%
SuperBoring,nltk_0.20,9,41.5730337079%,57.1428571429%
SuperBoring,nltk_0.20,10,38.8888888889%,30.0%
SuperBoring,nltk_0.20,11,35.8064516129%,45.5357142857%
SuperBoring,nltk_0.20,12,33.2378223496%,30.7692307692%
SuperBoring,nltk_0.20,13,32.3119777159%,40.0%
SuperBoring,nltk_0.20,14,31.4159292035%,45.1612903226%
SuperBoring,nltk_0.20,15,29.900990099%,35.8490566038%
SuperBoring,nltk_0.20,16,25.1862891207%,29.5180722892%
SuperBoring,nltk_0.20,17,25.2212389381%,28.5714285714%
SuperBoring,nltk_0.20,18,24.8185776488%,18.1818181818%
SuperBoring,nltk_0.20,19,25.1428571429%,54.5454545455%
SuperBoring,nltk_0.20,20,25.0704225352%,20.0%
SuperBoring,nltk_0.20,21,23.2704402516%,22.3529411765%
SuperBoring,nltk_0.20,22,23.1435643564%,15.3846153846%
SuperBoring,nltk_0.20,23,23.1234866828%,27.7777777778%
SuperBoring,nltk_0.20,24,21.9239373602%,22.0588235294%
SuperBoring,nltk_0.20,25,21.7199558986%,15.3846153846%
SuperBoring,nltk_0.20,26,21.3275299238%,8.33333333333%
SuperBoring,nltk_0.20,27,21.1206896552%,0.0%
SuperBoring,nltk_0.20,28,20.3995793901%,13.0434782609%
SuperBoring,nltk_0.20,29,19.8969072165%,10.5263157895%
SuperBoring,nltk_0.20,30,19.918699187%,21.4285714286%
SuperBoring,nltk_0.20,31,19.8388721047%,22.2222222222%
SuperBoring,nltk_0.20,32,19.5825049702%,7.69230769231%
SuperBoring,nltk_0.20,33,19.4088669951%,11.1111111111%
SuperBoring,nltk_0.20,34,19.3016488846%,12.5%
SuperBoring,nltk_0.20,35,19.312906221%,32.6086956522%
SuperBoring,nltk_0.20,36,19.2414431082%,0.0%
SuperBoring,nltk_0.20,37,19.1000918274%,0.0%
SuperBoring,nltk_0.20,38,18.9262966333%,0.0%
SuperBoring,nltk_0.20,39,18.6318631863%,8.33333333333%
SuperBoring,nltk_0.20,40,18.449197861%,9.09090909091%
SuperBoring,nltk_0.20,41,18.1419807187%,10.5263157895%
SuperBoring,nltk_0.20,42,18.0156657963%,25.0%
SuperBoring,nltk_0.20,43,17.9465056083%,10.0%
SuperBoring,nltk_0.20,44,17.878528657%,10.0%
SuperBoring,nltk_0.20,45,17.8175618073%,0.0%
SuperBoring,nltk_0.40,1,100.0%,100.0%
SuperBoring,nltk_0.40,2,86.6666666667%,75.0%
SuperBoring,nltk_0.40,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.40,4,71.4285714286%,84.6153846154%
SuperBoring,nltk_0.40,5,51.376146789%,68.9189189189%
SuperBoring,nltk_0.40,6,48.5915492958%,57.5757575758%
SuperBoring,nltk_0.40,7,47.0198675497%,55.5555555556%
SuperBoring,nltk_0.40,8,45.1219512195%,53.8461538462%
SuperBoring,nltk_0.40,9,45.5056179775%,64.2857142857%
SuperBoring,nltk_0.40,10,42.4242424242%,30.0%
SuperBoring,nltk_0.40,11,40.9677419355%,51.7857142857%
SuperBoring,nltk_0.40,12,38.9684813754%,43.5897435897%
SuperBoring,nltk_0.40,13,38.4401114206%,50.0%
SuperBoring,nltk_0.40,14,36.5044247788%,47.311827957%
SuperBoring,nltk_0.40,15,35.2475247525%,43.3962264151%
SuperBoring,nltk_0.40,16,32.9359165425%,42.1686746988%
SuperBoring,nltk_0.40,17,32.7433628319%,28.5714285714%
SuperBoring,nltk_0.40,18,32.2206095791%,27.2727272727%
SuperBoring,nltk_0.40,19,32.4285714286%,54.5454545455%
SuperBoring,nltk_0.40,20,32.1126760563%,20.0%
SuperBoring,nltk_0.40,21,30.8176100629%,34.1176470588%
SuperBoring,nltk_0.40,22,30.6930693069%,23.0769230769%
SuperBoring,nltk_0.40,23,30.387409201%,27.7777777778%
SuperBoring,nltk_0.40,24,28.8590604027%,27.9411764706%
SuperBoring,nltk_0.40,25,28.4454244763%,15.3846153846%
SuperBoring,nltk_0.40,26,28.1828073993%,16.6666666667%
SuperBoring,nltk_0.40,27,27.8017241379%,0.0%
SuperBoring,nltk_0.40,28,26.9190325973%,13.0434782609%
SuperBoring,nltk_0.40,29,26.2886597938%,10.5263157895%
SuperBoring,nltk_0.40,30,26.0162601626%,21.4285714286%
SuperBoring,nltk_0.40,31,25.7804632427%,22.2222222222%
SuperBoring,nltk_0.40,32,25.4473161034%,7.69230769231%
SuperBoring,nltk_0.40,33,25.1231527094%,11.1111111111%
SuperBoring,nltk_0.40,34,25.2182347236%,31.25%
SuperBoring,nltk_0.40,35,25.2553389044%,39.1304347826%
SuperBoring,nltk_0.40,36,25.0693802035%,0.0%
SuperBoring,nltk_0.40,37,24.7933884298%,0.0%
SuperBoring,nltk_0.40,38,24.4767970883%,0.0%
SuperBoring,nltk_0.40,39,24.1224122412%,8.33333333333%
SuperBoring,nltk_0.40,40,23.7967914439%,9.09090909091%
SuperBoring,nltk_0.40,41,23.4005258545%,10.5263157895%
SuperBoring,nltk_0.40,42,23.2375979112%,25.0%
SuperBoring,nltk_0.40,43,23.29594478%,30.0%
SuperBoring,nltk_0.40,44,23.1822070145%,10.0%
SuperBoring,nltk_0.40,45,23.0179028133%,0.0%
SuperBoring,nltk_0.60,1,100.0%,100.0%
SuperBoring,nltk_0.60,2,86.6666666667%,75.0%
SuperBoring,nltk_0.60,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.60,4,77.1428571429%,92.3076923077%
SuperBoring,nltk_0.60,5,59.6330275229%,74.3243243243%
SuperBoring,nltk_0.60,6,57.0422535211%,66.6666666667%
SuperBoring,nltk_0.60,7,54.9668874172%,55.5555555556%
SuperBoring,nltk_0.60,8,53.6585365854%,61.5384615385%
SuperBoring,nltk_0.60,9,53.3707865169%,64.2857142857%
SuperBoring,nltk_0.60,10,50.5050505051%,40.0%
SuperBoring,nltk_0.60,11,46.7741935484%,55.3571428571%
SuperBoring,nltk_0.60,12,44.6991404011%,48.7179487179%
SuperBoring,nltk_0.60,13,44.0111420613%,50.0%
SuperBoring,nltk_0.60,14,42.2566371681%,51.6129032258%
SuperBoring,nltk_0.60,15,40.7920792079%,47.1698113208%
SuperBoring,nltk_0.60,16,38.0029806259%,45.7831325301%
