Super_Word,Value
them,set(['them'])
medium,set(['medium'])
fabric,set(['fabric'])
state,set(['state'])
perhaps,set(['perhaps'])
certain,set(['certain'])
screen,set(['screen'])
changed,set(['changed'])
single,set(['single'])
saved,set(['saved'])
replace,set(['replace'])
newspaper,set(['newspaper'])
magazine,set(['magazine'])
book,set([u'book'])
new,set(['new'])
touch,set(['touch'])
article,set([u'article'])
keep,set(['keep'])
expands,set(['expands'])
pages,set(['pages'])
page,set(['page'])
