Super_Word,Value
bathing,set(['bathing'])
everyone,set(['everyone'])
give,set(['give'])
favorite,set(['favorite'])
pot,set(['pot'])
recipe,set(['recipe'])
walk,set(['walk'])
brought,set(['brought'])
video,set(['video'])
text,set(['text'])
go,set([u'go'])
clothing,set(['clothing'])
funny,set(['funny'])
guess,set(['guess'])
end,set(['end'])
guest,set([u'guest'])
linen,set(['linen'])
vintage,set(['vintage'])
played,set(['played'])
read,set(['read'])
book,set(['book'])
suit,set(['suit'])
collected,set(['collected'])
white,set(['white'])
beach,set(['beach'])
email,set(['email'])
record,set(['record'])
swim,set(['swim'])
play,set(['play'])
around,set(['around'])
song,set(['song'])
masquerade,set(['masquerade'])
couple,set(['couple'])
story,set(['story'])
moment,set([u'moment'])
every,set(['every'])
wear,set([u'wear'])
wedding,set(['wedding'])
put,set(['put'])
loud,set(['loud'])
groom,set(['groom'])
mask,set(['mask'])
disco,set(['disco'])
bride,set(['bride'])
funniest,set(['funniest'])
reception,set(['reception'])
friendguests,set(['friendguests'])
luck,set(['luck'])
