Super_Word,Value
feed,set(['feed'])
adjustable,set(['adjustable'])
set,set(['set'])
gold,set(['gold'])
show,set(['show'])
wall,set(['wall'])
photo,set(['photo'])
image,set([u'image'])
artwork,set(['artwork'])
displayed,set(['displayed'])
replace,set(['replace'])
large,set(['large'])
fashion,set(['fashion'])
eaisily,set(['eaisily'])
dish,set([u'dish'])
table,set(['table'])
message,set([u'message'])
redo,set(['redo'])
portable,set(['portable'])
web,set(['web'])
giant,set(['giant'])
management,set(['management'])
monitor,"set(['monitor', 'monitors'])"
maps,"set(['maps', u'map'])"
tv,"set(['tv', 'television'])"
there,set(['there'])
flag,set(['flag'])
charts,"set([u'billboard', 'charts'])"
actually,set(['actually'])
color,set([u'color'])
program,set(['program'])
invisibility,set(['invisibility'])
way,set(['way'])
meeting,set([u'meeting'])
take,set(['take'])
televisions,set(['televisions'])
colorchanging,set(['colorchanging'])
ceiling,set(['ceiling'])
emergency,set(['emergency'])
outside,set(['outside'])
food,set(['food'])
scoreboard,set(['scoreboard'])
doorbell,set(['doorbell'])
watch,set(['watch'])
rush,set(['rush'])
draped,set(['draped'])
cloth,"set(['cloth', 'clothing'])"
game,set([u'game'])
zoomable,set(['zoomable'])
desk,set(['desk'])
redesign,set(['redesign'])
decorating,set(['decorating'])
room,set(['room'])
easily,set(['easily'])
school,set(['school'])
smartphones,set(['smartphones'])
resource,set([u'resource'])
like,set(['like'])
player,set([u'player'])
presentation,set([u'presentation'])
inside,set(['inside'])
covering,set(['covering'])
mural,set(['mural'])
theyre,set(['theyre'])
unsual,set(['unsual'])
collect,set(['collect'])
slide,set(['slide'])
warning,set([u'warning'])
diy,set(['diy'])
team,set(['team'])
caution,set(['caution'])
piece,set([u'piece'])
side,set(['side'])
ring,set([u'ring'])
clothes,"set(['cloak', 'clothes'])"
system,set(['system'])
everyone,set(['everyone'])
art,set(['art'])
want,set(['want'])
project,set([u'project'])
frame,set(['frame'])
whie,set(['whie'])
finished,set(['finished'])
product,set(['product'])
surface,set([u'surface'])
presenentations,set(['presenentations'])
talking,set(['talking'])
see,set(['see'])
computer,set(['computer'])
video,set(['video'])
chat,set(['chat'])
claimed,set(['claimed'])
seem,set(['seem'])
sport,set([u'sport'])
cold,set(['cold'])
capture,set(['capture'])
appear,set(['appear'])
camping,set(['camping'])
floor,set(['floor'])
movie,set([u'movie'])
make,set(['make'])
virtual,set(['virtual'])
reality,set(['reality'])
note,set([u'note'])
filming,set(['filming'])
hot,set(['hot'])
projecting,set(['projecting'])
build,"set(['create', 'build'])"
poster,set([u'poster'])
interior,set(['interior'])
difficult,"set(['impossible', 'difficult'])"
correct,set(['correct'])
tent,set(['tent'])
picture,set(['picture'])
play,set(['play'])
ability,set([u'ability'])
park,set(['park'])
screen,set(['screen'])
wallpaper,set(['wallpaper'])
hang,set(['hang'])
unusual,set(['unusual'])
reflect,set(['reflect'])
put,set(['put'])
news,set(['news'])
tablecloth,set(['tablecloth'])
entire,set(['entire'])
change,set(['change'])
fabric,set(['fabric'])
design,set(['design'])
theater,set(['theater'])
updatable,set(['updatable'])
onto,set(['onto'])
youre,set(['youre'])
youtube,set(['youtube'])
space,set(['space'])
display,set(['display'])
person,set(['person'])
doorway,set(['doorway'])
neighbor,set([u'neighbor'])
normally,set(['normally'])
powerpoint,"set(['customizable', 'powerpoint'])"
know,set(['know'])
