Super_Word,Value
essay,set([u'essay'])
incorporate,set(['incorporate'])
shot,set(['shot'])
forget,set(['forget'])
,set([''])
show,set(['show'])
dance,set(['dance'])
need,set(['need'])
child,set([u'child'])
recipe,set([u'recipe'])
bring,set(['bring'])
dish,set(['dish'])
saved,set(['saved'])
find,set(['find'])
recharge,set(['recharge'])
whose,set(['whose'])
busy,set(['busy'])
based,set(['based'])
calculate,set(['calculate'])
menu,"set(['menu', 'menus'])"
calorie,set([u'calorie'])
simple,set(['simple'])
outing,set([u'outing'])
waiting,set(['waiting'])
send,set(['send'])
germain,set(['germain'])
going,set(['going'])
promoting,set(['promoting'])
pretty,set(['pretty'])
photo,set(['photo'])
announce,set(['announce'])
set,set(['set'])
include,set(['include'])
local,set(['local'])
resources,set(['resources'])
ingredient,set([u'ingredient'])
plate,set([u'plate'])
touchscreen,set(['touchscreen'])
get,set(['get'])
beat,set(['beat'])
cheap,set(['cheap'])
flowing,set(['flowing'])
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
aware,set(['aware'])
preparing,set(['preparing'])
cook,set([u'cook'])
affect,set([u'affect'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
school,set([u'school'])
increasing,set(['increasing'])
bar,set(['bar'])
prize,set([u'prize'])
introduced,set(['introduced'])
button,set(['button'])
list,set(['list'])
applicable,set(['applicable'])
across,set(['across'])
large,"set(['large', 'small'])"
item,set([u'item'])
recommendation,set([u'recommendation'])
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
grab,set(['grab'])
clothes,set(['clothes'])
enjoy,set(['enjoy'])
bars,set(['bars'])
smaller,"set(['smaller', 'larger'])"
art,set(['art'])
thwarting,set(['thwarting'])
appliance,set(['appliance'])
liquor,"set(['liquor', 'seafood', 'drinks'])"
proprietor,set([u'proprietor'])
direct,set(['direct'])
arrives,set(['arrives'])
seat,set(['seat'])
chef,set(['chef'])
go,set(['go'])
see,set(['see'])
computer,set(['computer'])
video,set(['video'])
us,set([u'us'])
neutral,set(['neutral'])
close,set(['close'])
news,set(['news'])
sport,set([u'sport'])
flavor,set(['flavor'])
best,set(['best'])
situation,set(['situation'])
even,set(['even'])
websitemenu,set(['websitemenu'])
clock,set(['clock'])
movie,set([u'movie'])
review,set([u'review'])
selected,set(['selected'])
area,set(['area'])
idle,set([u'idle'])
children,set(['children'])
current,set(['current'])
outside,set(['outside'])
version,set(['version'])
blur,set(['blur'])
new,set(['new'])
juggle,set(['juggle'])
reading,set(['reading'])
email,set(['email'])
3d,set(['3d'])
available,set(['available'])
program,set(['program'])
full,set(['full'])
invention,set(['invention'])
ability,set(['ability'])
announcement,set([u'announcement'])
business,set(['business'])
screen,set(['screen'])
never,set(['never'])
answers,set(['answers'])
drawing,set(['drawing'])
water,set(['water'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
wear,set(['wear'])
key,set(['key'])
others,set(['others'])
represented,set(['represented'])
pens,set(['pens'])
along,set(['along'])
quite,set(['quite'])
come,set(['come'])
teacher,set([u'teacher'])
change,set([u'change'])
kitchen,set(['kitchen'])
dining,set(['dining'])
great,set(['great'])
animated,"set(['animated', u'cartoon'])"
tablet,set([u'tablet'])
restaurant,set(['restaurant'])
receive,set(['receive'])
country,set([u'country'])
inspired,set(['inspired'])
changed,set(['changed'])
allows,set(['allows'])
event,set(['event'])
experience,set(['experience'])
called,set(['called'])
etc,set(['etc'])
tour,set(['tour'])
monitor,set(['monitor'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
social,set(['social'])
passing,set(['passing'])
whole,set(['whole'])
asked,set(['asked'])
add,set(['add'])
comment,set([u'comment'])
relevant,set(['relevant'])
love,set(['love'])
projection,set(['projection'])
family,set(['family'])
point,set([u'point'])
wall,set([u'wall'])
sign,set(['sign'])
liqour,set(['liqour'])
whatever,set(['whatever'])
replace,set(['replace'])
satisfaction,set(['satisfaction'])
ask,set(['ask'])
simply,set(['simply'])
learning,set(['learning'])
article,set([u'article'])
table,set(['table'])
festivals,set(['festivals'])
total,set(['total'])
expensive,set(['expensive'])
bingo,set(['bingo'])
passive,set(['passive'])
bathroom,set(['bathroom'])
from,set(['from'])
raise,set(['raise'])
platform,set(['platform'])
addition,set(['addition'])
create,set(['create'])
locally,set(['locally'])
visit,set(['visit'])
two,set(['two'])
next,set(['next'])
vineyard,set(['vineyard'])
live,set(['live'])
options,set(['options'])
call,set(['call'])
calm,set(['calm'])
familiar,set(['familiar'])
certain,set(['certain'])
strike,set(['strike'])
curtain,set(['curtain'])
believe,set(['believe'])
wait,set(['wait'])
meeting,set([u'meeting'])
today,set(['today'])
choose,set(['choose'])
website,set(['website'])
draftsman,set(['draftsman'])
direction,set([u'direction'])
modern,set(['modern'])
corresponding,set(['corresponding'])
affixed,set(['affixed'])
it,set(['it'])
phone,set(['phone'])
flag,set([u'flag'])
cookware,set(['cookware'])
adult,set([u'adult'])
dresigns,set(['dresigns'])
ins,set(['ins'])
spin,set(['spin'])
bill,set(['bill'])
present,set(['present'])
customer,set([u'customer'])
account,set(['account'])
bartender,set(['bartender'])
room,set(['room'])
hour,set(['hour'])
ifwhen,set(['ifwhen'])
leave,set(['leave'])
work,set(['work'])
animates,set(['animates'])
entertained,set(['entertained'])
air,set(['air'])
recommendations,set(['recommendations'])
information,set(['information'])
remain,set(['remain'])
fingertip,set([u'fingertip'])
neat,set(['neat'])
sent,set(['sent'])
cam,set(['cam'])
many,set(['many'])
fun,set(['fun'])
making,set(['making'])
gave,set(['gave'])
example,set(['example'])
become,set(['become'])
history,set(['history'])
decorative,set(['decorative'])
purchases,set(['purchases'])
antisocial,set(['antisocial'])
approximate,set(['approximate'])
patron,set([u'patron'])
give,set(['give'])
process,set(['process'])
in,set(['in'])
suggestions,set(['suggestions'])
intractable,set(['intractable'])
surface,set(['surface'])
heard,set(['heard'])
tag,set([u'tag'])
im,set(['im'])
something,set(['something'])
want,"set(['wish', 'want'])"
beautifully,set(['beautifully'])
ready,set(['ready'])
partner,set([u'partner'])
clothing,set(['clothing'])
activity,set([u'activity'])
technology,set(['technology'])
wihere,set(['wihere'])
sever,set(['sever'])
tourist,set([u'tourist'])
behindthescenes,set(['behindthescenes'])
different,set(['different'])
possibility,set([u'possibility'])
end,set(['end'])
shirt,set(['shirt'])
turn,set(['turn'])
rather,set(['rather'])
pay,set(['pay'])
make,set(['make'])
dinner,set(['dinner'])
check,set(['check'])
write,set(['write'])
far,set(['far'])
poetic,set(['poetic'])
pad,set(['pad'])
dessert,"set(['dessert', 'pizza', 'desserts'])"
before,set(['before'])
instead,set(['instead'])
reminder,set(['reminder'])
events,set(['events'])
stand,set(['stand'])
status,set(['status'])
gaming,"set(['gaming', 'entertainment'])"
product,set(['product'])
sandwich,set(['sandwich'])
description,set(['description'])
cocktail,set(['cocktail'])
flip,set(['flip'])
stop,set(['stop'])
pick,set(['pick'])
hang,set(['hang'])
them,set(['them'])
holidays,set(['holidays'])
timed,set(['timed'])
catalog,set(['catalog'])
lot,set(['lot'])
introvert,set(['introvert'])
designed,set(['designed'])
student,set([u'student'])
changing,set(['changing'])
tablecloth,set(['tablecloth'])
choice,set(['choice'])
login,set(['login'])
repeat,set(['repeat'])
kid,set([u'kid'])
included,set(['included'])
short,set(['short'])
theater,set(['theater'])
remember,"set(['hear', 'remember'])"
read,set(['read'])
light,set(['light'])
sp,set(['sp'])
well,set(['well'])
st,set(['st'])
deserted,set(['deserted'])
perhaps,set(['perhaps'])
without,set(['without'])
solve,set(['solve'])
around,set(['around'])
allow,set(['allow'])
allergies,set(['allergies'])
theatres,set(['theatres'])
model,set(['model'])
audio,set(['audio'])
interface,set(['interface'])
order,set(['order'])
wine,set(['wine'])
world,set(['world'])
theme,set(['theme'])
played,set(['played'])
help,set(['help'])
able,set(['able'])
sporting,set(['sporting'])
top,set(['top'])
displayed,set(['displayed'])
utilize,set(['utilize'])
paper,set(['paper'])
thanks,set(['thanks'])
questions,set(['questions'])
researpapers,set(['researpapers'])
touch,set(['touch'])
cold,set(['cold'])
mixup,set(['mixup'])
bunch,set(['bunch'])
tables,set(['tables'])
cut,set(['cut'])
group,set(['group'])
ads,set(['ads'])
fit,set(['fit'])
mroe,set(['mroe'])
personal,set(['personal'])
fix,set(['fix'])
extra,set(['extra'])
seems,set(['seems'])
panflets,set(['panflets'])
better,set(['better'])
attraction,set([u'attraction'])
window,set([u'window'])
book,set(['book'])
board,set(['board'])
save,set(['save'])
might,set(['might'])
smart,set(['smart'])
photographed,set(['photographed'])
real,set(['real'])
complaint,set(['complaint'])
someone,set(['someone'])
crash,set([u'crash'])
captivating,set(['captivating'])
animate,set(['animate'])
format,set([u'format'])
food,set(['food'])
big,set(['big'])
showing,set(['showing'])
practice,set(['practice'])
preferred,set(['preferred'])
possible,set(['possible'])
break,set(['break'])
band,set([u'band'])
game,"set([u'game', 'games'])"
touching,set(['touching'])
private,set(['private'])
desk,set([u'desk'])
step,set(['step'])
ninja,set(['ninja'])
one,set(['one'])
realize,set(['realize'])
color,set(['color'])
like,set(['like'])
easily,set(['easily'])
trivia,set(['trivia'])
necessary,set(['necessary'])
name,set(['name'])
auto,set(['auto'])
cooler,"set(['cooler', 'warmer'])"
fully,set(['fully'])
clown,set([u'clown'])
rocks,set(['rocks'])
specific,set(['specific'])
good,set(['good'])
maker,set(['maker'])
either,set(['either'])
man,set(['man'])
rock,set([u'rock'])
popular,set(['popular'])
wtth,set(['wtth'])
stationary,set(['stationary'])
meal,set(['meal'])
caloriesnutrition,set(['caloriesnutrition'])
turtle,set(['turtle'])
profile,set(['profile'])
everyone,set(['everyone'])
deal,set(['deal'])
people,set(['people'])
staff,set(['staff'])
house,set(['house'])
hard,set(['hard'])
finished,set(['finished'])
idea,"set(['concept', 'idea'])"
tvs,set(['tvs'])
decor,set(['decor'])
clubs,set(['clubs'])
used,set(['used'])
itsel,set(['itsel'])
year,set(['year'])
proper,set(['proper'])
home,set(['home'])
advertise,set(['advertise'])
newsletter,set(['newsletter'])
draw,set(['draw'])
message,set(['message'])
special,set([u'special'])
mat,set([u'mat'])
try,set(['try'])
scale,set(['scale'])
there,set(['there'])
space,set(['space'])
support,set(['support'])
characteristic,set(['characteristic'])
allegiances,set(['allegiances'])
content,set(['content'])
pen,set(['pen'])
tracker,set(['tracker'])
eliminate,set(['eliminate'])
print,set([u'print'])
electronics,set(['electronics'])
math,set(['math'])
resteraunt,set(['resteraunt'])
deals,set(['deals'])
core,set(['core'])
limitless,set(['limitless'])
power,set(['power'])
upon,set(['upon'])
contain,set(['contain'])
empty,set(['empty'])
free,set(['free'])
loyalty,set(['loyalty'])
host,set(['host'])
mime,set(['mime'])
inviting,set(['inviting'])
placed,set(['placed'])
put,set(['put'])
eye,set(['eye'])
estimate,set(['estimate'])
pretend,set(['pretend'])
caloriesfood,set(['caloriesfood'])
throw,set(['throw'])
beaches,set(['beaches'])
log,set(['log'])
wouldnt,set(['wouldnt'])
waiter,set(['waiter'])
island,set(['island'])
needing,set(['needing'])
wrong,set(['wrong'])
keep,set(['keep'])
practical,set(['practical'])
thing,set([u'thing'])
map,set(['map'])
statement,set(['statement'])
place,set(['place'])
guest,set(['guest'])
incorporated,set(['incorporated'])
decorate,set(['decorate'])
mixed,set(['mixed'])
view,set(['view'])
