Super_Word,Value
,set([''])
limited,set(['limited'])
concept,set(['concept'])
forget,set(['forget'])
themed,set(['themed'])
dance,set(['dance'])
copy,set(['copy'])
dresigns,set(['dresigns'])
desserts,set(['desserts'])
go,set(['go'])
loyalty,set(['loyalty'])
saved,set(['saved'])
children,set(['children'])
recharge,set(['recharge'])
whose,set(['whose'])
calculate,set(['calculate'])
tv,set(['tv'])
send,set(['send'])
germain,set(['germain'])
program,set(['program'])
promoting,set(['promoting'])
include,set(['include'])
resources,set(['resources'])
ingredient,set([u'ingredient'])
far,set(['far'])
dessert,set(['dessert'])
choice,set(['choice'])
cook,set([u'cook'])
affect,set([u'affect'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
school,set(['school'])
prize,set([u'prize'])
photographed,set(['photographed'])
button,set(['button'])
list,set(['list'])
applicable,set(['applicable'])
large,set(['large'])
item,set(['item'])
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
clothes,set(['clothes'])
enjoy,set(['enjoy'])
pretend,set(['pretend'])
direct,set(['direct'])
sign,set(['sign'])
chef,set(['chef'])
dish,set([u'dish'])
invention,set(['invention'])
video,set([u'video'])
placemats,set(['placemats'])
further,set(['further'])
makers,set(['makers'])
drinks,set(['drinks'])
even,set(['even'])
power,set(['power'])
clock,set(['clock'])
selected,set(['selected'])
current,set(['current'])
waiting,set(['waiting'])
version,set(['version'])
blur,set(['blur'])
new,set(['new'])
ifwhen,set(['ifwhen'])
3d,set(['3d'])
full,set(['full'])
never,set(['never'])
answers,set(['answers'])
water,set(['water'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
free,set(['free'])
others,set(['others'])
represented,set(['represented'])
towncity,set(['towncity'])
along,set(['along'])
teacher,set(['teacher'])
change,set([u'change'])
wait,set(['wait'])
great,set(['great'])
receive,set(['receive'])
inspired,set(['inspired'])
larger,set(['larger'])
allows,set(['allows'])
host,set(['host'])
experience,set(['experience'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
social,set(['social'])
options,set(['options'])
love,set(['love'])
projection,set(['projection'])
family,set(['family'])
extra,set(['extra'])
private,set(['private'])
replace,set(['replace'])
put,set(['put'])
festivals,set(['festivals'])
total,set(['total'])
from,set(['from'])
visit,set(['visit'])
two,set(['two'])
next,set(['next'])
vineyard,set(['vineyard'])
live,set(['live'])
call,set(['call'])
calm,set(['calm'])
crab,set(['crab'])
strike,set(['strike'])
preview,set([u'preview'])
type,set(['type'])
today,set(['today'])
aware,set(['aware'])
phone,set(['phone'])
flag,set([u'flag'])
cookware,set(['cookware'])
adult,set([u'adult'])
customer,set([u'customer'])
account,set(['account'])
bartender,set(['bartender'])
room,set(['room'])
hour,set(['hour'])
work,set(['work'])
entertained,set(['entertained'])
remain,set(['remain'])
sent,set(['sent'])
cam,set(['cam'])
of,set(['of'])
making,set(['making'])
example,set(['example'])
feature,set([u'feature'])
history,set(['history'])
decorative,set(['decorative'])
purchases,set(['purchases'])
patron,set([u'patron'])
give,set(['give'])
process,set(['process'])
beautifully,set(['beautifully'])
suggestions,set(['suggestions'])
intractable,set(['intractable'])
heard,set(['heard'])
tag,set([u'tag'])
something,set(['something'])
want,set(['want'])
clothing,set(['clothing'])
information,set(['information'])
end,set(['end'])
turn,set(['turn'])
rather,set(['rather'])
utilize,set(['utilize'])
write,set(['write'])
menus,set(['menus'])
instead,set(['instead'])
pizza,set(['pizza'])
profile,set(['profile'])
map,set(['map'])
product,set(['product'])
sandwich,set(['sandwich'])
mat,set([u'mat'])
cocktail,set(['cocktail'])
behindthescenes,set(['behindthescenes'])
stop,set(['stop'])
decor,set(['decor'])
catalog,set(['catalog'])
lay,set(['lay'])
tablecloth,set(['tablecloth'])
wave,set(['wave'])
man,set(['man'])
short,set(['short'])
remember,set(['remember'])
maybe,set(['maybe'])
sp,set(['sp'])
st,set(['st'])
deserted,set(['deserted'])
allow,set(['allow'])
order,set(['order'])
wine,set([u'wine'])
help,set([u'help'])
displayed,set(['displayed'])
characteristic,set(['characteristic'])
paper,set(['paper'])
cold,set(['cold'])
mixup,set(['mixup'])
before,set(['before'])
pens,set(['pens'])
monitor,set(['monitor'])
fit,set(['fit'])
personal,set(['personal'])
fix,set(['fix'])
sale,set([u'sale'])
better,set(['better'])
platform,set(['platform'])
window,set([u'window'])
choose,set(['choose'])
might,set(['might'])
them,set(['them'])
someone,set(['someone'])
crash,set([u'crash'])
tourist,set([u'tourist'])
food,set(['food'])
auto,set(['auto'])
practice,set(['practice'])
break,set(['break'])
band,set([u'band'])
touching,set(['touching'])
ninja,set(['ninja'])
one,set(['one'])
realize,set(['realize'])
easily,set(['easily'])
name,set(['name'])
fully,set(['fully'])
rocks,set(['rocks'])
doesnt,set(['doesnt'])
rock,set([u'rock'])
out,set(['out'])
meal,set([u'meal'])
turtle,set(['turtle'])
week,set([u'week'])
everyone,set(['everyone'])
gaming,set(['gaming'])
house,set(['house'])
hard,set(['hard'])
idea,set(['idea'])
group,set(['group'])
used,set(['used'])
itsel,set(['itsel'])
year,set(['year'])
calorie,set([u'calorie'])
special,set([u'special'])
description,set(['description'])
deals,set(['deals'])
space,set(['space'])
content,set(['content'])
encourage,set(['encourage'])
print,set([u'print'])
electronics,set(['electronics'])
math,set(['math'])
inevitably,set(['inevitably'])
drink,set(['drink'])
upon,set(['upon'])
contain,set(['contain'])
possibility,set([u'possibility'])
quite,set(['quite'])
small,set(['small'])
mime,set(['mime'])
ask,set(['ask'])
estimate,set(['estimate'])
caloriesfood,set(['caloriesfood'])
card,set(['card'])
fabric,set(['fabric'])
waiter,set(['waiter'])
needing,set(['needing'])
wrong,set(['wrong'])
keep,set(['keep'])
thing,set([u'thing'])
place,set(['place'])
incorporated,set(['incorporated'])
timed,set(['timed'])
think,set(['think'])
designed,set(['designed'])
origin,set([u'origin'])
constantly,set(['constantly'])
revenue,set(['revenue'])
feel,set(['feel'])
misc,set(['misc'])
approximate,set(['approximate'])
wash,set(['wash'])
smaller,set(['smaller'])
done,set(['done'])
directly,set(['directly'])
message,set(['message'])
pokemon,set(['pokemon'])
city,set(['city'])
little,set(['little'])
guest,set(['guest'])
attach,set(['attach'])
ordering,set(['ordering'])
top,set(['top'])
pots,set(['pots'])
system,set(['system'])
cartoon,set([u'cartoon'])
paint,set(['paint'])
too,set(['too'])
statement,set(['statement'])
expanded,set(['expanded'])
store,set(['store'])
interests,set(['interests'])
way,set(['way'])
that,set(['that'])
season,set(['season'])
signup,set(['signup'])
appreciation,set(['appreciation'])
part,set(['part'])
believe,set(['believe'])
past,set(['past'])
television,set(['television'])
target,set(['target'])
specials,set(['specials'])
tree,set([u'tree'])
bed,set(['bed'])
preparation,set(['preparation'])
idle,set([u'idle'])
future,set(['future'])
friend,set([u'friend'])
light,set(['light'])
interactive,set(['interactive'])
waiterwaitress,set(['waiterwaitress'])
clip,set(['clip'])
modern,set(['modern'])
mine,set(['mine'])
need,set(['need'])
aged,set(['aged'])
occupied,set(['occupied'])
orders,set(['orders'])
option,set(['option'])
sell,set(['sell'])
built,set(['built'])
check,set(['check'])
allergies,set(['allergies'])
able,set(['able'])
parks,set(['parks'])
note,set([u'note'])
dining,set(['dining'])
ideal,set(['ideal'])
contact,set(['contact'])
take,set(['take'])
trivia,set(['trivia'])
rides,set(['rides'])
play,set(['play'])
sure,set(['sure'])
normal,set(['normal'])
customize,set(['customize'])
limitless,set(['limitless'])
plan,set([u'plan'])
device,set(['device'])
class,set(['class'])
appear,set(['appear'])
seafood,set(['seafood'])
napkin,set([u'napkin'])
request,set(['request'])
heat,set(['heat'])
face,set(['face'])
tech,set(['tech'])
clean,set(['clean'])
away,set(['away'])
fact,set(['fact'])
incorporate,set(['incorporate'])
multimedia,set(['multimedia'])
shot,set(['shot'])
show,set(['show'])
recipe,set([u'recipe'])
bring,set(['bring'])
appetizersetc,set(['appetizersetc'])
find,set(['find'])
staff,set(['staff'])
busy,set(['busy'])
based,set(['based'])
menu,set(['menu'])
theme,set(['theme'])
going,set(['going'])
pretty,set(['pretty'])
announce,set(['announce'])
local,set(['local'])
plate,set([u'plate'])
touchscreen,set(['touchscreen'])
get,set(['get'])
beat,set(['beat'])
familiar,set(['familiar'])
flowing,set(['flowing'])
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
preparing,set(['preparing'])
increasing,set(['increasing'])
bar,set(['bar'])
resteraunt,set(['resteraunt'])
across,set(['across'])
activity,set([u'activity'])
grab,set(['grab'])
view,set(['view'])
bars,set(['bars'])
set,set(['set'])
art,set(['art'])
thwarting,set(['thwarting'])
liquor,set(['liquor'])
seat,set(['seat'])
see,set(['see'])
computer,set(['computer'])
close,set(['close'])
sport,set([u'sport'])
best,set(['best'])
websitemenu,set(['websitemenu'])
placed,set(['placed'])
movie,set([u'movie'])
review,set([u'review'])
outside,set(['outside'])
juggle,set(['juggle'])
reading,set(['reading'])
email,set(['email'])
decorate,set(['decorate'])
available,set(['available'])
ability,set(['ability'])
essay,set([u'essay'])
tables,set(['tables'])
screen,set([u'screen'])
cheap,set(['cheap'])
wear,set(['wear'])
key,set(['key'])
interface,set(['interface'])
article,set([u'article'])
come,set(['come'])
kitchen,set(['kitchen'])
restaurant,set(['restaurant'])
country,set([u'country'])
antisocial,set(['antisocial'])
display,set(['display'])
etc,set(['etc'])
tour,set(['tour'])
games,set(['games'])
passing,set(['passing'])
whole,set(['whole'])
asked,set(['asked'])
comment,set([u'comment'])
relevant,set(['relevant'])
afterwards,set(['afterwards'])
point,set([u'point'])
simple,set(['simple'])
liqour,set(['liqour'])
whatever,set(['whatever'])
satisfaction,set(['satisfaction'])
simply,set(['simply'])
learning,set(['learning'])
news,set(['news'])
table,set([u'table'])
expensive,set(['expensive'])
bingo,set(['bingo'])
bathroom,set(['bathroom'])
raise,set(['raise'])
attraction,set([u'attraction'])
addition,set(['addition'])
create,set(['create'])
locally,set(['locally'])
due,set(['due'])
