Super_Word,Value
,set([''])
essay,set([u'essay'])
concept,set(['concept'])
forget,set(['forget'])
themed,set(['themed'])
dance,set(['dance'])
child,set([u'child'])
desserts,set(['desserts'])
dish,set(['dish'])
saved,set(['saved'])
children,set(['children'])
recharge,set(['recharge'])
whose,set(['whose'])
calculate,set(['calculate'])
tv,set(['tv'])
calorie,set([u'calorie'])
send,set(['send'])
germain,set(['germain'])
program,set(['program'])
promoting,set(['promoting'])
include,set(['include'])
sent,set(['sent'])
ingredient,set([u'ingredient'])
far,set(['far'])
dessert,set(['dessert'])
wave,set(['wave'])
cook,set([u'cook'])
affect,set([u'affect'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
school,set([u'school'])
prize,set([u'prize'])
button,set(['button'])
list,set(['list'])
applicable,set(['applicable'])
specials,set(['specials'])
item,set([u'item'])
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
clothes,set(['clothes'])
enjoy,set(['enjoy'])
bill,set(['bill'])
direct,set(['direct'])
sign,set(['sign'])
chef,set(['chef'])
go,set(['go'])
invention,set(['invention'])
video,set([u'video'])
placemats,set(['placemats'])
further,set(['further'])
makers,set(['makers'])
drinks,set(['drinks'])
even,set(['even'])
business,set(['business'])
clock,set(['clock'])
multimedia,set(['multimedia'])
current,set(['current'])
waiting,set(['waiting'])
version,set(['version'])
blur,set(['blur'])
new,set(['new'])
increasing,set(['increasing'])
3d,set(['3d'])
full,set(['full'])
never,set(['never'])
answers,set(['answers'])
water,set(['water'])
explore,set(['explore'])
busy,set(['busy'])
let,set(['let'])
free,set(['free'])
others,set(['others'])
represented,set(['represented'])
towncity,set(['towncity'])
along,set(['along'])
quite,set(['quite'])
teacher,set([u'teacher'])
change,set([u'change'])
wait,set(['wait'])
great,set(['great'])
receive,set(['receive'])
inspired,set(['inspired'])
changed,set(['changed'])
allows,set(['allows'])
step,set(['step'])
experience,set(['experience'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
pick,set(['pick'])
maker,set(['maker'])
love,set(['love'])
projection,set(['projection'])
family,set(['family'])
extra,set(['extra'])
deals,set(['deals'])
private,set(['private'])
replace,set(['replace'])
put,set(['put'])
festivals,set(['festivals'])
total,set(['total'])
from,set(['from'])
visit,set(['visit'])
two,set(['two'])
next,set(['next'])
vineyard,set(['vineyard'])
live,set(['live'])
music,set(['music'])
calm,set(['calm'])
crab,set(['crab'])
strike,set(['strike'])
preview,set([u'preview'])
type,set(['type'])
today,set(['today'])
aware,set(['aware'])
phone,set(['phone'])
visual,set(['visual'])
cookware,set(['cookware'])
adult,set([u'adult'])
customer,set([u'customer'])
account,set(['account'])
bartender,set(['bartender'])
room,set(['room'])
hour,set(['hour'])
work,set(['work'])
entertained,set(['entertained'])
remain,set(['remain'])
resources,set(['resources'])
cam,set(['cam'])
of,set(['of'])
