Super_Word,Value
essay,set([u'essay'])
incorporate,"set(['incorporate', 'create', 'utilize', 'encourage', 'ensure', 'eliminate', u'affect', 'enhance'])"
shot,set(['shot'])
,set([''])
show,set(['show'])
dance,"set(['dance', 'music'])"
child,"set(['children', u'child'])"
recipe,set([u'recipe'])
dish,"set(['dish', 'dessert'])"
saved,set(['saved'])
liqour,set(['liqour'])
recharge,set(['recharge'])
whose,set(['whose'])
busy,set(['busy'])
based,set(['based'])
calculate,set(['calculate'])
menu,"set(['menu', 'menus'])"
calorie,set([u'calorie'])
simple,set(['simple'])
outing,set([u'outing'])
outside,set(['outside'])
germain,set(['germain'])
going,set(['going'])
promoting,set(['promoting'])
pretty,set(['pretty'])
photo,set(['photo'])
announce,set(['announce'])
set,set(['set'])
include,set(['include'])
local,set(['local'])
resources,set(['resources'])
ingredient,set([u'ingredient'])
plate,set([u'plate'])
intractable,set(['intractable'])
beat,"set(['beat', 'pick'])"
cheap,set(['cheap'])
flowing,set(['flowing'])
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
preparing,set(['preparing'])
cook,set([u'cook'])
festuve,set(['festuve'])
cool,"set(['cooler', 'warmer', 'cool'])"
entire,set(['entire'])
school,set([u'school'])
increasing,set(['increasing'])
bar,set(['bar'])
prize,set([u'prize'])
introduced,set(['introduced'])
button,"set(['button', u'window', 'flip'])"
list,set(['list'])
applicable,set(['applicable'])
across,set(['across'])
large,"set(['large', 'small'])"
item,set([u'item'])
team,set(['team'])
quick,set(['quick'])
grab,set(['grab'])
clothes,set(['clothes'])
enjoy,"set(['enjoy', 'offer'])"
bars,"set(['bars', 'clubs'])"
smaller,"set(['smaller', 'larger'])"
art,set(['art'])
thwarting,set(['thwarting'])
appliance,set(['appliance'])
liquor,"set(['seafood', 'desserts', 'beer', u'beverage', 'drinks', 'clothing', 'liquor', 'pizza'])"
proprietor,set([u'proprietor'])
direct,set(['direct'])
arrives,set(['arrives'])
seat,set(['seat'])
chef,set(['chef'])
become,set(['become'])
see,set(['see'])
computer,set(['computer'])
video,"set(['audio', 'video', 'clip'])"
bed,set(['bed'])
neutral,set(['neutral'])
close,set(['close'])
news,set(['news'])
sport,set([u'sport'])
flavor,set(['flavor'])
best,set(['best'])
even,set(['even'])
websitemenu,set(['websitemenu'])
clock,set(['clock'])
movie,set([u'movie'])
review,set([u'review'])
selected,set(['selected'])
recommendation,set([u'recommendation'])
idle,set([u'idle'])
current,set(['current'])
waiting,"set(['ready', 'waiting'])"
version,set(['version'])
blur,set(['blur'])
new,set(['new'])
juggle,set(['juggle'])
reading,set(['reading'])
email,"set(['interface', 'login', 'email'])"
3d,set(['3d'])
available,set(['available'])
program,set(['program'])
full,set(['full'])
invention,set(['invention'])
ability,set(['ability'])
announcement,set([u'announcement'])
business,set(['business'])
screen,set(['screen'])
never,set(['never'])
drawing,set(['drawing'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
wear,set(['wear'])
key,set(['key'])
making,set(['making'])
represented,set(['represented'])
pens,set(['pens'])
along,set(['along'])
quite,set(['quite'])
come,set(['come'])
change,set([u'change'])
wait,set(['wait'])
great,set(['great'])
animated,"set(['animated', u'cartoon'])"
tablet,set([u'tablet'])
restaurant,"set(['kitchen', 'restaurant'])"
receive,set(['receive'])
country,set([u'country'])
inspired,set(['inspired'])
changed,set(['changed'])
allows,set(['allows'])
event,set(['event'])
experience,set(['experience'])
called,set(['called'])
etc,set(['etc'])
tour,set(['tour'])
monitor,set(['monitor'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
social,set(['social'])
passing,set(['passing'])
whole,set(['whole'])
asked,set(['asked'])
comment,set([u'comment'])
relevant,set(['relevant'])
love,set(['love'])
projection,set(['projection'])
family,set(['family'])
point,set([u'point'])
wall,set([u'wall'])
others,set(['others'])
sign,set(['sign'])
map,set(['map'])
whatever,set(['whatever'])
replace,set(['replace'])
satisfaction,set(['satisfaction'])
ask,set(['ask'])
simply,set(['simply'])
learning,set(['learning'])
article,set([u'article'])
table,set(['table'])
festivals,"set(['festivals', 'holidays'])"
total,set(['total'])
expensive,set(['expensive'])
passive,set(['passive'])
bathroom,set(['bathroom'])
from,set(['from'])
platform,set(['platform'])
addition,set(['addition'])
locally,set(['locally'])
visit,set(['visit'])
due,set(['due'])
next,set(['next'])
vineyard,set(['vineyard'])
live,set(['live'])
options,set(['options'])
call,set(['call'])
calm,set(['calm'])
familiar,set(['familiar'])
draftsman,set(['draftsman'])
strike,set(['strike'])
curtain,set(['curtain'])
believe,set(['believe'])
bill,set(['bill'])
meeting,set([u'meeting'])
today,set(['today'])
direction,set([u'direction'])
