Super_Word,Value
,set([''])
incorporate,set(['incorporate'])
selected,set(['selected'])
set,set(['set'])
forget,set(['forget'])
ninja,set(['ninja'])
show,set(['show'])
dance,set(['dance'])
lay,set(['lay'])
child,set([u'child'])
recipe,set([u'recipe'])
desserts,set(['desserts'])
concept,set(['concept'])
map,set(['map'])
go,set(['go'])
shot,set(['shot'])
appetizersetc,set(['appetizersetc'])
find,set(['find'])
recharge,set(['recharge'])
whose,set(['whose'])
busy,set(['busy'])
based,set(['based'])
calculate,set(['calculate'])
tv,set(['tv'])
menu,set(['menu'])
simple,set(['simple'])
rock,set([u'rock'])
send,set(['send'])
germain,set(['germain'])
going,set(['going'])
promoting,set(['promoting'])
pretty,set(['pretty'])
photo,set(['photo'])
weather,set(['weather'])
announce,set(['announce'])
include,set(['include'])
local,set(['local'])
resources,set(['resources'])
ingredient,set([u'ingredient'])
pens,set(['pens'])
plate,set([u'plate'])
touchscreen,set(['touchscreen'])
get,set(['get'])
far,set(['far'])
familiar,set(['familiar'])
blur,set(['blur'])
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
toss,set(['toss'])
preparing,set(['preparing'])
cook,set([u'cook'])
affect,set([u'affect'])
festuve,set(['festuve'])
juggle,set(['juggle'])
cool,set(['cool'])
entire,set(['entire'])
school,set(['school'])
reading,set(['reading'])
bar,set(['bar'])
prize,set([u'prize'])
bring,set(['bring'])
researpapers,set(['researpapers'])
button,set(['button'])
passing,set(['passing'])
list,set(['list'])
applicable,set(['applicable'])
email,set(['email'])
large,set(['large'])
item,set(['item'])
record,set(['record'])
paper,set(['paper'])
math,set(['math'])
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
grab,set(['grab'])
around,set(['around'])
view,set(['view'])
enjoy,set(['enjoy'])
bars,set(['bars'])
work,set(['work'])
art,set(['art'])
inevitably,set(['inevitably'])
tree,set([u'tree'])
liquor,set(['liquor'])
proprietor,set([u'proprietor'])
direct,set(['direct'])
arrives,set(['arrives'])
sign,set(['sign'])
chef,set(['chef'])
dish,set([u'dish'])
see,set(['see'])
computer,set(['computer'])
video,set([u'video'])
us,set([u'us'])
further,set(['further'])
sport,set([u'sport'])
makers,set(['makers'])
best,set(['best'])
drinks,set(['drinks'])
even,set(['even'])
websitemenu,set(['websitemenu'])
clock,set(['clock'])
movie,set([u'movie'])
review,set([u'review'])
multimedia,set(['multimedia'])
idle,set([u'idle'])
children,set(['children'])
current,set(['current'])
waiting,set(['waiting'])
version,set(['version'])
flowing,set(['flowing'])
new,set(['new'])
towncity,set(['towncity'])
before,set(['before'])
across,set(['across'])
close,set(['close'])
3d,set(['3d'])
available,set(['available'])
program,set(['program'])
full,set(['full'])
invention,set(['invention'])
ability,set(['ability'])
essay,set([u'essay'])
announcement,set([u'announcement'])
business,set(['business'])
screen,set([u'screen'])
never,set(['never'])
answers,set(['answers'])
water,set(['water'])
seafood,set(['seafood'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
wear,set(['wear'])
key,set(['key'])
situation,set(['situation'])
represented,set(['represented'])
article,set([u'article'])
along,set(['along'])
quite,set(['quite'])
come,set(['come'])
teacher,set(['teacher'])
change,set([u'change'])
wait,set(['wait'])
dining,set(['dining'])
great,set(['great'])
store,set(['store'])
tablet,set([u'tablet'])
restaurant,set(['restaurant'])
receive,set(['receive'])
country,set([u'country'])
inspired,set(['inspired'])
larger,"set(['larger', 'smaller'])"
allows,set(['allows'])
space,set(['space'])
experience,set(['experience'])
guide,set(['guide'])
etc,set(['etc'])
tour,set(['tour'])
games,set(['games'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
social,set(['social'])
spin,set(['spin'])
login,set(['login'])
history,set(['history'])
whole,set(['whole'])
asked,set(['asked'])
add,set(['add'])
comment,set([u'comment'])
relevant,set(['relevant'])
love,set(['love'])
afterwards,set(['afterwards'])
family,set(['family'])
extra,set(['extra'])
wall,set([u'wall'])
others,set(['others'])
deals,set(['deals'])
waiterwaitress,set(['waiterwaitress'])
whatever,set(['whatever'])
replace,set(['replace'])
satisfaction,set(['satisfaction'])
ask,set(['ask'])
simply,set(['simply'])
called,set(['called'])
learning,set(['learning'])
news,set(['news'])
table,set([u'table'])
festivals,set(['festivals'])
total,set(['total'])
expensive,set(['expensive'])
bingo,set(['bingo'])
passive,set(['passive'])
bathroom,set(['bathroom'])
from,set(['from'])
raise,set(['raise'])
platform,set(['platform'])
addition,set(['addition'])
create,set(['create'])
live,set(['live'])
visit,set(['visit'])
due,set(['due'])
next,set(['next'])
vineyard,set(['vineyard'])
beer,set(['beer'])
options,set(['options'])
call,set(['call'])
card,set(['card'])
crab,set(['crab'])
draftsman,set(['draftsman'])
strike,set(['strike'])
curtain,set(['curtain'])
believe,set(['believe'])
kitchen,set(['kitchen'])
meeting,set([u'meeting'])
today,set(['today'])
choose,set(['choose'])
website,set(['website'])
monitor,set(['monitor'])
direction,set([u'direction'])
wish,set(['wish'])
corresponding,set(['corresponding'])
affixed,set(['affixed'])
aware,set(['aware'])
phone,set(['phone'])
flag,set([u'flag'])
cookware,set(['cookware'])
adult,set([u'adult'])
dresigns,set(['dresigns'])
customers,set(['customers'])
ins,set(['ins'])
neutral,set(['neutral'])
present,set(['present'])
customer,set([u'customer'])
account,set(['account'])
bartender,set(['bartender'])
room,set(['room'])
hour,set(['hour'])
ifwhen,set(['ifwhen'])
leave,set(['leave'])
bill,set(['bill'])
animates,set(['animates'])
entertained,set(['entertained'])
air,set(['air'])
information,set(['information'])
remain,set(['remain'])
fingertip,set([u'fingertip'])
neat,set(['neat'])
