Super_Word,Value
,set([''])
limited,set(['limited'])
shot,set(['shot'])
forget,set(['forget'])
show,"set(['entertainment', 'show'])"
dance,set(['dance'])
copy,set(['copy'])
sent,set(['sent'])
recipe,"set(['recipes', 'recipe'])"
bring,set(['bring'])
go,"set(['go', 'goes'])"
saved,set(['saved'])
find,set(['find'])
liqour,set(['liqour'])
recharge,set(['recharge'])
content,set(['content'])
coloring,set(['coloring'])
based,set(['based'])
calculate,set(['calculate'])
menu,"set(['info', 'menu', 'information', 'list', 'menus'])"
themed,set(['themed'])
waiting,set(['waiting'])
send,set(['send'])
germain,set(['germain'])
going,set(['going'])
promoting,"set(['further', 'encourage', 'promoting', 'ensure', 'faster'])"
include,"set(['deserted', 'smaller', 'around', 'inevitably', 'convenient', 'needing', 'cheap', 'applicable', 'quite', 'practical', 'aware', 'simply', 'antisocial', 'pretty', 'contain', 'included', 'include', 'linked', 'really'])"
local,set(['local'])
meetings,set(['meetings'])
resources,"set(['resources', 'keep'])"
eliminate,set(['eliminate'])
pay,set(['pay'])
touchscreen,set(['touchscreen'])
incorporate,"set(['incorporate', 'incorporated'])"
get,set(['get'])
far,set(['far'])
familiar,set(['familiar'])
blur,set(['blur'])
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
toss,set(['toss'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
cooks,"set(['chef', 'cooks', 'chefs', 'draftsman'])"
reading,set(['reading'])
bar,"set(['bar', 'room'])"
resteraunt,set(['resteraunt'])
countries,set(['countries'])
button,set(['button'])
email,set(['email'])
large,set(['large'])
item,"set(['item', 'part', 'name', 'items'])"
clowns,set(['clowns'])
cartoons,set(['cartoons'])
team,set(['team'])
small,set(['small'])
enhance,set(['enhance'])
grab,set(['grab'])
view,set(['view'])
bars,set(['bars'])
bill,set(['bill'])
core,set(['core'])
crashes,set(['crashes'])
liquor,"set(['liquors', 'liquor'])"
researpapers,set(['researpapers'])
arrives,set(['arrives'])
seat,set(['seat'])
see,set(['see'])
invention,set(['invention'])
placemats,set(['placemats'])
close,set(['close'])
drawing,set(['drawing'])
best,"set(['preparation', 'activities', 'process', 'support', 'practice', 'try', 'uses', 'fun', 'games', 'best'])"
even,set(['even'])
websitemenu,set(['websitemenu'])
clock,set(['clock'])
pictures,"set(['pictures', 'picture'])"
away,set(['away'])
multimedia,set(['multimedia'])
current,set(['current'])
outside,set(['outside'])
version,set(['version'])
flowing,set(['flowing'])
new,set(['new'])
juggle,set(['juggle'])
staff,set(['staff'])
across,set(['across'])
3d,"set(['movie', 'movies', '3d'])"
available,set(['available'])
full,set(['full'])
ability,set(['ability'])
tags,set(['tags'])
never,set(['never'])
answers,"set(['statement', 'answers'])"
water,set(['water'])
explore,set(['explore'])
busy,"set(['busy', 'occupied'])"
let,set(['let'])
wear,set(['wear'])
key,set(['key'])
making,set(['making'])
represented,set(['represented'])
news,set(['news'])
come,set(['come'])
kitchen,set(['kitchen'])
plates,set(['plates'])
great,set(['great'])
kids,"set(['kids', 'children'])"
restaurant,"set(['restaurants', 'restaurant'])"
receive,set(['receive'])
many,set(['many'])
larger,set(['larger'])
experience,set(['experience'])
guide,set(['guide'])
etc,set(['etc'])
tour,set(['tour'])
social,set(['social'])
login,set(['login'])
history,"set(['past', 'history'])"
changes,set(['changes'])
options,"set(['put', 'options', 'option'])"
prints,set(['prints'])
relevant,set(['relevant'])
love,set(['love'])
projection,set(['projection'])
extra,set(['extra'])
wall,"set(['wall', 'walls'])"
others,set(['others'])
sign,set(['sign'])
map,"set(['map', 'photo', 'maps'])"
private,set(['private'])
replace,set(['replace'])
satisfaction,set(['satisfaction'])
interface,set(['interface'])
guests,"set(['guests', 'guest'])"
learning,set(['learning'])
towncity,set(['towncity'])
festivals,set(['festivals'])
total,set(['total'])
expensive,set(['expensive'])
bingo,set(['bingo'])
passive,set(['passive'])
bathroom,set(['bathroom'])
from,set(['from'])
raise,set(['raise'])
platform,set(['platform'])
addition,set(['addition'])
create,"set(['create', 'built', 'designed'])"
locally,set(['locally'])
visit,set(['visit'])
theme,set(['theme'])
sports,set(['sports'])
vineyard,set(['vineyard'])
live,set(['live'])
music,set(['music'])
beaches,set(['beaches'])
crab,set(['crab'])
certain,set(['certain'])
strike,set(['strike'])
curtain,set(['curtain'])
wait,"set(['waits', 'wait'])"
type,set(['type'])
choose,"set(['selected', 'choose'])"
wants,"set(['wants', 'want'])"
direction,"set(['directions', 'beat', 'direction'])"
shirts,"set(['shirts', 'shirt'])"
corresponding,set(['corresponding'])
flags,"set(['flag', 'flags'])"
it,set(['it'])
phone,set(['phone'])
visual,set(['visual'])
prizes,set(['prizes'])
dresigns,set(['dresigns'])
spin,set(['spin'])
present,"set(['today', 'present'])"
account,"set(['record', 'account', 'notes'])"
bartender,set(['bartender'])
look,set(['look'])
hour,set(['hour'])
ifwhen,set(['ifwhen'])
leave,set(['leave'])
work,set(['work'])
entertained,set(['entertained'])
photographed,set(['photographed'])
reviews,set(['reviews'])
remain,set(['remain'])
teachers,"set(['teachers', 'teacher'])"
cam,set(['cam'])
formats,set(['formats'])
situation,set(['situation'])
animated,"set(['animate', 'animated', 'animates', 'inspired', 'inviting'])"
example,set(['example'])
pick,"set(['choice', 'pick'])"
decorative,set(['decorative'])
purchases,set(['purchases'])
played,set(['played'])
intractable,set(['intractable'])
heard,"set(['heard', 'hear'])"
good,set(['good'])
im,set(['im'])
something,set(['something'])
in,set(['in'])
ready,set(['ready'])
technology,set(['technology'])
sever,set(['sever'])
behindthescenes,set(['behindthescenes'])
different,set(['different'])
alarm,set(['alarm'])
rather,set(['rather'])
things,set(['things'])
make,set(['make'])
island,set(['island'])
write,set(['write'])
parts,set(['parts'])
pad,set(['pad'])
big,set(['big'])
before,set(['before'])
instead,set(['instead'])
events,"set(['break', 'throw', 'thwarting', 'events', 'event'])"
pizza,set(['pizza'])
profile,set(['profile'])
gaming,set(['gaming'])
product,set(['product'])
sandwich,set(['sandwich'])
description,set(['description'])
cocktail,"set(['cocktails', 'cocktail'])"
clothes,"set(['clothing', 'clothes'])"
stop,set(['stop'])
drink,"set(['drink', 'drinks'])"
upon,set(['upon'])
loyalty,set(['loyalty'])
holidays,set(['holidays'])
proprietors,set(['proprietors'])
timed,set(['timed'])
wrong,set(['wrong'])
asked,"set(['ask', 'asked'])"
trees,set(['trees'])
elderflower,set(['elderflower'])
wave,set(['wave'])
passing,set(['passing'])
repeat,set(['repeat'])
short,set(['short'])
remember,set(['remember'])
light,set(['light'])
sp,set(['sp'])
well,set(['well'])
st,set(['st'])
person,"set(['partners', 'someone', 'adults', 'temp', 'modern', 'host', 'maker', 'makers', 'person', 'neutral', 'introvert', 'friends', 'tourists', 'friend', 'man'])"
without,set(['without'])
solve,set(['solve'])
increasing,set(['increasing'])
readable,set(['readable'])
theatres,"set(['theatres', 'theaters', 'theater'])"
audio,set(['audio'])
order,"set(['order', 'orders'])"
left,set(['left'])
afterwards,set(['afterwards'])
help,"set(['help', 'helps'])"
tip,"set(['end', 'tip', 'fingertips'])"
sporting,set(['sporting'])
displayed,set(['displayed'])
tablets,"set(['tablets', 'tablet'])"
thanks,set(['thanks'])
questions,"set(['question', 'questions'])"
world,set(['world'])
touch,"set(['touch', 'touching'])"
cold,set(['cold'])
rocks,set(['rocks'])
mixup,set(['mixup'])
bunch,set(['bunch'])
tables,"set(['tables', 'table'])"
cut,set(['cut'])
monitor,set(['monitor'])
fit,set(['fit'])
mroe,set(['mroe'])
personal,set(['personal'])
fix,set(['fix'])
seems,"set(['seems', 'appear'])"
panflets,set(['panflets'])
better,set(['better'])
simple,set(['simple'])
add,set(['add'])
potential,set(['potential'])
board,set(['board'])
weeks,set(['weeks'])
save,set(['save'])
might,set(['might'])
smart,set(['smart'])
gave,set(['gave'])
real,set(['real'])
customers,"set(['customer', 'customers', 'patrons'])"
within,set(['within'])
captivating,set(['captivating'])
food,"set(['food', 'beverages'])"
bands,set(['bands'])
showing,set(['showing'])
preferred,set(['preferred'])
possible,set(['possible'])
know,set(['know'])
desk,"set(['desks', 'desk'])"
schools,"set(['schools', 'school', 'tech'])"
ninja,set(['ninja'])
realize,set(['realize'])
color,set(['color'])
paint,set(['paint'])
articles,set(['articles'])
necessary,set(['necessary'])
like,set(['like'])
auto,set(['auto'])
cooler,set(['cooler'])
fully,set(['fully'])
draw,set(['draw'])
server,"set(['waiter', 'servers', 'waiters', 'server'])"
possibilities,set(['possibilities'])
weather,set(['weather'])
either,set(['either'])
night,set(['night'])
popular,set(['popular'])
wtth,set(['wtth'])
stationary,set(['stationary'])
two,set(['two'])
turtle,set(['turtle'])
status,set(['status'])
everyone,set(['everyone'])
deal,"set(['deals', 'deal'])"
people,"set(['poor', 'set', 'group', 'people', 'free', 'aged'])"
house,set(['house'])
interact,set(['interact'])
back,set(['back'])
competition,set(['competition'])
clubs,set(['clubs'])
used,"set(['used', 'utilize', 'beautifully'])"
itsel,set(['itsel'])
year,set(['year'])
images,set(['images'])
home,set(['home'])
advertise,"set(['announce', 'advertise'])"
newsletter,"set(['newsletter', 'newsletters'])"
message,set(['message'])
out,set(['out'])
specials,"set(['specials', 'special'])"
scale,set(['scale'])
mats,"set(['mats', 'mat'])"
space,set(['space'])
affects,set(['affects'])
allegiances,set(['allegiances'])
comments,set(['comments'])
outings,set(['outings'])
customize,set(['customize'])
pen,"set(['pen', 'pens'])"
tracker,set(['tracker'])
caloriesnutrition,set(['caloriesnutrition'])
electronics,set(['electronics'])
math,set(['math'])
flavors,"set(['flavors', 'flavor'])"
limitless,set(['limitless'])
business,set(['business'])
wines,"set(['wine', 'wines'])"
hang,set(['hang'])
whose,set(['whose'])
recommendations,set(['recommendations'])
communicate,set(['communicate'])
quick,set(['quick'])
step,set(['step'])
mime,set(['mime'])
become,set(['become'])
eye,set(['eye'])
estimate,set(['estimate'])
pretend,set(['pretend'])
caloriesfood,set(['caloriesfood'])
