,Unnamed: 0,cond,id,project_slug,submit_second_after_start,text,user_slug,idea_id,novelty_z,novelty_raw,value_z,value_raw,cluster_id,cluster_name
0,0,on-demand,139,timing_task2,20,project your favorite logo on your clothes,V3PRPEJMGX,139,-0.293345455,5,0.285785091,5.2,12,make clothing/wearables that help people express themselves
1,1,on-demand,142,timing_task2,36,wear your favorite pattern and change the patterns with your outfit for the day,V3PRPEJMGX,142,0.194509498,5,-0.269879323,3.666666667,,
2,2,none,143,timing_task2,21,Schools can use it to have a large scale movie day,HTCALN6RJ3,143,-0.846937335,3.4,-0.375529341,3.4,,
3,3,on-demand,144,timing_task2,52,project your ideas that youre thinking on your clothes.  i.e. your blog,V3PRPEJMGX,144,0.078781973,4.6,-0.311480174,3.6,,
4,4,none,145,timing_task2,39,replacing old movie theaters with outdoor ones.,HTCALN6RJ3,145,-1.022238985,3.25,-0.346650872,3.75,,
5,5,on-demand,146,timing_task2,72,project family pictures on a blanket,V3PRPEJMGX,146,-0.11019575,4.6,-0.568938986,3.4,,
6,6,idle,147,timing_task2,30,A flag that can display different country's flags,U8DDMY34XX,147,0.55442901,5.6,0.533443011,5,,
7,7,on-demand,148,timing_task2,17,Create a portable projector that can be attached to curtains in any room.,KX40MULF0O,148,-0.199074951,4.25,0.511163328,5,,
8,8,none,149,timing_task2,62,You can have videos of cars driving at car lots so customers can see the car in motion.,HTCALN6RJ3,149,-0.315431109,4.5,-0.111474633,4.25,,
9,9,on-demand,150,timing_task2,91,put pictures of family members on childrens blankets so they wont miss them so much,V3PRPEJMGX,150,-0.118639188,4.25,0.463231811,4.75,,
10,10,idle,151,timing_task2,47,a large banner used for advertisments,U8DDMY34XX,151,-1.257325972,2,0.608975882,6,,
11,11,none,152,timing_task2,80,project video games being played at birthday parties.,HTCALN6RJ3,152,-0.307911947,4.666666667,-0.748300283,3.666666667,,
12,12,on-demand,153,timing_task2,108,changing target practice,V3PRPEJMGX,153,0.110835263,4.6,-0.630690232,3.6,,
13,13,idle,154,timing_task2,65,t-shirts that change colors and styles,U8DDMY34XX,154,0.636764389,5.6,0.991306093,6,,
14,14,none,155,timing_task2,90,Project video games at a tournament.,HTCALN6RJ3,155,-1.005637879,2.5,-0.078101964,4.25,,
15,15,on-demand,156,timing_task2,51,Make an App that you can customize designs that will change the display connected to your tshirt so you can make custom tshirts whenever you want.,KX40MULF0O,156,1.008785064,6,-0.062516707,4.5,,
16,16,on-demand,157,timing_task2,121,hide a seek on a blanket,V3PRPEJMGX,157,-0.241557993,4.333333333,-1.300411853,2.333333333,17,make physically interactive games for the entertainment for adults and/or of children
17,17,idle,158,timing_task2,78,pants that change colors and styles,U8DDMY34XX,158,0.395935637,4.6,0.136951684,4.8,,
18,18,none,159,timing_task2,107,Being able to show family videos at reunions.,HTCALN6RJ3,159,-0.8819774,3.2,0.056619613,4.2,,
19,19,on-demand,160,timing_task2,70,Sell to travelling salesman for pitches on the road for their presentations.,KX40MULF0O,160,-0.682675494,4,-0.193085554,4.25,,
20,20,on-demand,161,timing_task2,138,board games and wack'a'mole on pillows,V3PRPEJMGX,161,1.077473072,6,0.072088539,3.8,,
21,21,idle,162,timing_task2,92,hats that change colors and styles,U8DDMY34XX,162,0.742992873,6.5,-0.196432361,4.5,,
22,22,none,163,timing_task2,32,use it at display stands in cosmetic areas for advertising,RCYW4N6FT0,163,-1.215444434,2,-0.273806644,4,,
23,23,on-demand,164,timing_task2,153,blinds that change with the weather outside,V3PRPEJMGX,164,0.979483418,6.4,1.015811857,6.4,,
24,24,on-demand,165,timing_task2,88,Provide to underfunded schools to replace their expensive projectors in classrooms.,KX40MULF0O,165,0.70776662,5.6,1.442709791,6.8,,
25,25,on-demand,166,timing_task2,21,A shirt which changes color in response to touch/wind sensations,5PKBVJJGBE,166,0.464382721,5,-0.179619767,3.6,,
26,26,none,167,timing_task2,135,"At weddings, have videos of their meeting and photos of the couple playing at the reception.",HTCALN6RJ3,167,-0.129187979,4.2,-0.064279319,4,,
27,27,on-demand,168,timing_task2,106,Give to medical missionaries to give presentations to local populations about illnesses.,KX40MULF0O,168,0.589542122,5.5,1.011017014,6.166666667,,
28,28,on-demand,169,timing_task2,179,"blinds that can change depending on what event is happening in the house.  i.e. birthday, funeral, etc.",V3PRPEJMGX,169,-0.182766966,4.75,-0.286465961,4,,
29,29,none,170,timing_task2,67,use it to provide directions for people who are lost by touching the screen,RCYW4N6FT0,170,-0.173654471,4.5,0.567036735,5.333333333,,
