ideaID,content,cond,creativity,earlyLate,theme,inspID,novelty,timeStamp,authorID,value
xStSpEPXBTjrNkWGx,I might get lucky when I am around him that he might say his name.,Treatment,13.5,Early,How might you involve technology?,2BLmcchfcCvnSMRpZ,3,197.685,A1FKZ2HY4XKMG1,4.5
9hpzK33NEpk7pKf9o,I could try to think of as many names as I can and one might correspond to the person,Treatment,13.5,Late,How might you involve technology?,2BLmcchfcCvnSMRpZ,3,535.615,A1NITMHYG5YL3H,4.5
BSc238a6K35Cg3vTv,I could say a nickname to them and they could correct me with their real name,Treatment,9.75,Late,How might you involve technology?,2BLmcchfcCvnSMRpZ,6.5,574.477,A1NITMHYG5YL3H,1.5
LM6uDS5mwbaFhCMz2,I could lead them on with a question that requires their real name,Treatment,12,Late,How might you involve technology?,2BLmcchfcCvnSMRpZ,3,352.445,A1QJW2DB0W14FB,4
qiDsBcir2fqrsBHCa,I could text a friend and ask.,Treatment,13,Late,How might you involve technology?,2BLmcchfcCvnSMRpZ,2,492.76,A25ABNB41T2WDJ,6.5
JTAW4WmMHvozwuer7,I could see if I have their name in my contacts.,Treatment,20,Late,How might you involve technology?,2BLmcchfcCvnSMRpZ,5,513.081,A25ABNB41T2WDJ,4
xhqDEmpSGBeFth4tn,"If I have the opportunity, I could discretely look through Facebook quickly to find them.",Treatment,14,Early,How might you involve technology?,2BLmcchfcCvnSMRpZ,2,223.147,A3MTAJHYHCIJK4,7
R2XHyrmnAi94MZnzp,I could spark a discussion about driver's license pictures. Maybe they would give me a peek.,Treatment,14,Early,How might you involve technology?,2BLmcchfcCvnSMRpZ,2,275.517,A3R55HO5EARZVW,7
v7MFL7WvoLcsakMRd,Asking someone else their name directly in front of them.,Treatment,6.5,Late,How might you involve technology?,2BLmcchfcCvnSMRpZ,1,411.654,A3R55HO5EARZVW,6.5
fStrbcQiKofgtykAF,Try to address them and stumble verbally.,Treatment,6,Late,How might you involve technology?,2BLmcchfcCvnSMRpZ,1,543.977,A3R55HO5EARZVW,6
g82NLbot3jNWj4rfq,I could suggest we play a game and have someone else write down a scoreboard.,Treatment,14,Early,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,3.5,227.583,A2DXEPC4QFV4R1,4
yZ7y7grSoL4WkJSog,"I would give them a silly nickname, and maybe they would correct me. It would be a little bit embarassing, especially if I don't know them well enough to know their name.",Treatment,12.25,Late,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,3.5,468.738,A2VDLRRPXV3N59,3.5
bhJKbMwACEMJLQ7r6,"Call them ""you"" and hope the name just comes up without me looking too awkward.",Treatment,12,Late,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,3,491.6,A2VDLRRPXV3N59,4
g93Bv6S6TytDyqcoA,Steal their wallet.,Treatment,17.5,Late,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,5,545.458,A2VDLRRPXV3N59,3.5
